pathway,transcriptome_pval,transcriptome_padj,proteome_pval,proteome_padj,phosphoproteome_pval,phosphoproteome_padj,combined_pval,combined_padj,Contrast,Pathway
(KEGG) Hedgehog signaling pathway,0.801626016,0.997779412,0.246835443,0.879895756,0.961595273,0.980320465,0.999776131,1,X1O2NoCyA - X1O2PlusCyA,Hedgehog Signaling Pathway
(KEGG) TGF-beta signaling pathway,0.679941003,0.997779412,0.620967742,0.945329815,0.700141443,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Tgf-Beta Signaling Pathway
(KEGG) Axon guidance,0.965397924,0.997779412,0.106175515,0.720358732,0.261077844,0.942982456,0.998086459,1,X1O2NoCyA - X1O2PlusCyA,Axon Guidance
(KEGG) VEGF signaling pathway,0.918079096,0.997779412,0.116493656,0.720358732,0.335135135,0.948231545,0.998247442,1,X1O2NoCyA - X1O2PlusCyA,Vegf Signaling Pathway
(KEGG) Apelin signaling pathway,0.340909091,0.848181818,0.940528634,0.969320327,0.920289855,0.969121562,0.997043576,1,X1O2NoCyA - X1O2PlusCyA,Apelin Signaling Pathway
(KEGG) Osteoclast differentiation,0.840057637,0.997779412,0.54978355,0.945329815,0.777085928,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Osteoclast Differentiation
(KEGG) Hippo signaling pathway,0.193771626,0.678014422,0.715376227,0.945329815,0.112373737,0.942982456,0.982295594,1,X1O2NoCyA - X1O2PlusCyA,Hippo Signaling Pathway
(KEGG) Hippo signaling pathway - multiple species,0.650753769,0.997779412,0.75,0.945329815,0.124416796,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Hippo Signaling Pathway - Multiple Species
(KEGG) Focal adhesion,0.896797153,0.997779412,0.161670236,0.834739852,0.238095238,0.942982456,0.999085732,1,X1O2NoCyA - X1O2PlusCyA,Focal Adhesion
(KEGG) ECM-receptor interaction,0.739010989,0.997779412,0.811538462,0.957651344,0.918681319,0.969121562,0.999898982,1,X1O2NoCyA - X1O2PlusCyA,Ecm-Receptor Interaction
(KEGG) Cell adhesion molecules,0.28440367,0.796842714,0.015506042,0.282884999,0.661016949,0.951582618,0.865743211,1,X1O2NoCyA - X1O2PlusCyA,Cell Adhesion Molecules
(KEGG) Adherens junction,0.028199584,0.364753086,0.385844749,0.945329815,0.878378378,0.953698936,0.955038071,1,X1O2NoCyA - X1O2PlusCyA,Adherens Junction
(KEGG) Tight junction,0.002376627,0.105590145,0.588735388,0.945329815,0.632,0.951582618,0.877217055,1,X1O2NoCyA - X1O2PlusCyA,Tight Junction
(KEGG) Gap junction,0.494219653,0.963973577,0.176674365,0.834739852,0.310734463,0.948231545,0.994460896,1,X1O2NoCyA - X1O2PlusCyA,Gap Junction
(KEGG) Signaling pathways regulating pluripotency of stem cells,0.597058824,0.997779412,0.404844291,0.945329815,0.959459459,0.980320465,0.999913872,1,X1O2NoCyA - X1O2PlusCyA,Signaling Pathways Regulating Pluripotency Of Stem Cells
(KEGG) Complement and coagulation cascades,0.438016529,0.936966187,0.462797619,0.945329815,NA,NA,0.98658295,1,X1O2NoCyA - X1O2PlusCyA,Complement And Coagulation Cascades
(KEGG) Platelet activation,0.122186495,0.603174603,0.869047619,0.967340332,0.81981982,0.951582618,0.985137823,1,X1O2NoCyA - X1O2PlusCyA,Platelet Activation
(KEGG) Antigen processing and presentation,0.739875389,0.997779412,0.563084112,0.945329815,0.279863481,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Antigen Processing And Presentation
(KEGG) Renin-angiotensin system,0.485655738,0.963973577,NA,NA,NA,NA,0.963973577,1,X1O2NoCyA - X1O2PlusCyA,Renin-Angiotensin System
(KEGG) Toll-like receptor signaling pathway,0.961820852,0.997779412,0.667792793,0.945329815,0.833333333,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Toll-Like Receptor Signaling Pathway
(KEGG) NOD-like receptor signaling pathway,0.267882188,0.771401486,0.938363443,0.969320327,0.853046595,0.951582618,0.993207166,1,X1O2NoCyA - X1O2PlusCyA,Nod-Like Receptor Signaling Pathway
(KEGG) RIG-I-like receptor signaling pathway,0.040123457,0.415946502,0.358208955,0.945329815,0.823607427,0.951582618,0.960839028,1,X1O2NoCyA - X1O2PlusCyA,Rig-I-Like Receptor Signaling Pathway
(KEGG) Cytosolic DNA-sensing pathway,0.157024793,0.630774524,0.797246558,0.951046091,0.236923077,0.942982456,0.98033593,1,X1O2NoCyA - X1O2PlusCyA,Cytosolic Dna-Sensing Pathway
(KEGG) C-type lectin receptor signaling pathway,0.844250364,0.997779412,0.485682819,0.945329815,0.51010101,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,C-Type Lectin Receptor Signaling Pathway
(KEGG) JAK-STAT signaling pathway,0.890322581,0.997779412,0.70669746,0.945329815,0.560846561,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Jak-Stat Signaling Pathway
(KEGG) Natural killer cell mediated cytotoxicity,0.113537118,0.603174603,0.233766234,0.857606011,0.276515152,0.942982456,0.953614858,1,X1O2NoCyA - X1O2PlusCyA,Natural Killer Cell Mediated Cytotoxicity
(KEGG) IL-17 signaling pathway,0.170175439,0.656325842,0.745535714,0.945329815,0.937704918,0.9755156,0.989090813,1,X1O2NoCyA - X1O2PlusCyA,Il-17 Signaling Pathway
(KEGG) Th1 and Th2 cell differentiation,0.634375,0.997779412,0.049889135,0.539871714,0.285087719,0.942982456,0.995509196,1,X1O2NoCyA - X1O2PlusCyA,Th1 And Th2 Cell Differentiation
(KEGG) Th17 cell differentiation,0.371165644,0.887942426,0.096452328,0.71280623,0.260204082,0.942982456,0.97371862,1,X1O2NoCyA - X1O2PlusCyA,Th17 Cell Differentiation
(KEGG) T cell receptor signaling pathway,0.880126183,0.997779412,0.228013029,0.857606011,0.794554455,0.951582618,0.999356222,1,X1O2NoCyA - X1O2PlusCyA,T Cell Receptor Signaling Pathway
(KEGG) B cell receptor signaling pathway,0.590625,0.997779412,0.386782232,0.945329815,0.320048309,0.948231545,0.999773309,1,X1O2NoCyA - X1O2PlusCyA,B Cell Receptor Signaling Pathway
(KEGG) Fc epsilon RI signaling pathway,0.961715161,0.997779412,0.115296804,0.720358732,0.179378531,0.942982456,0.998086459,1,X1O2NoCyA - X1O2PlusCyA,Fc Epsilon Ri Signaling Pathway
(KEGG) Fc gamma R-mediated phagocytosis,0.2125,0.695657895,0.126651982,0.76574083,0.53680203,0.951582618,0.952809052,1,X1O2NoCyA - X1O2PlusCyA,Fc Gamma R-Mediated Phagocytosis
(KEGG) TNF signaling pathway,0.199706314,0.682512788,0.53539823,0.945329815,0.430894309,0.948231545,0.983758507,1,X1O2NoCyA - X1O2PlusCyA,Tnf Signaling Pathway
(KEGG) Leukocyte transendothelial migration,0.204747774,0.684694171,0.129955947,0.76574083,0.096491228,0.942982456,0.946141426,1,X1O2NoCyA - X1O2PlusCyA,Leukocyte Transendothelial Migration
(KEGG) Intestinal immune network for IgA production,0.017456455,0.364753086,0.824242424,0.960559441,0.867346939,0.952104805,0.962177495,1,X1O2NoCyA - X1O2PlusCyA,Intestinal Immune Network For Iga Production
(KEGG) Circadian rhythm,0.781862745,0.997779412,0.271653543,0.924842962,0.660968661,0.951582618,0.999700055,1,X1O2NoCyA - X1O2PlusCyA,Circadian Rhythm
(KEGG) Circadian entrainment,0.119318182,0.603174603,0.714788732,0.945329815,0.852289513,0.951582618,0.979028357,1,X1O2NoCyA - X1O2PlusCyA,Circadian Entrainment
(KEGG) Thermogenesis,0.554733728,0.979994958,0.773127753,0.947139072,0.464585834,0.948231545,0.998891688,1,X1O2NoCyA - X1O2PlusCyA,Thermogenesis
(KEGG) Long-term potentiation,0.669491525,0.997779412,0.466666667,0.945329815,0.014172869,0.73132002,0.998267223,1,X1O2NoCyA - X1O2PlusCyA,Long-Term Potentiation
(KEGG) Synaptic vesicle cycle,0.398275862,0.917509579,0.462264151,0.945329815,0.163461538,0.942982456,0.995836142,1,X1O2NoCyA - X1O2PlusCyA,Synaptic Vesicle Cycle
(KEGG) Neurotrophin signaling pathway,0.409090909,0.921936759,0.83494105,0.965599764,0.072532699,0.942982456,0.997297288,1,X1O2NoCyA - X1O2PlusCyA,Neurotrophin Signaling Pathway
(KEGG) Retrograde endocannabinoid signaling,0.151419558,0.630774524,0.345434543,0.945329815,0.778846154,0.951582618,0.981045793,1,X1O2NoCyA - X1O2PlusCyA,Retrograde Endocannabinoid Signaling
(KEGG) Glutamatergic synapse,0.522988506,0.975155144,0.451388889,0.945329815,0.452238806,0.948231545,0.998638752,1,X1O2NoCyA - X1O2PlusCyA,Glutamatergic Synapse
(KEGG) Cholinergic synapse,0.156804734,0.630774524,0.906285714,0.967340332,0.618233618,0.951582618,0.986637303,1,X1O2NoCyA - X1O2PlusCyA,Cholinergic Synapse
(KEGG) Serotonergic synapse,0.925501433,0.997779412,0.14,0.800377358,0.402985075,0.948231545,0.998926629,1,X1O2NoCyA - X1O2PlusCyA,Serotonergic Synapse
(KEGG) GABAergic synapse,0.552,0.979994958,0.699624531,0.945329815,0.694230769,0.951582618,0.998925166,1,X1O2NoCyA - X1O2PlusCyA,Gabaergic Synapse
(KEGG) Dopaminergic synapse,0.324758842,0.825913761,0.388235294,0.945329815,0.578378378,0.951582618,0.992339451,1,X1O2NoCyA - X1O2PlusCyA,Dopaminergic Synapse
(KEGG) Long-term depression,0.42032967,0.933732339,0.534246575,0.945329815,0.273624824,0.942982456,0.99658751,1,X1O2NoCyA - X1O2PlusCyA,Long-Term Depression
(KEGG) Olfactory transduction,0.031274096,0.364753086,0.882051282,0.967340332,0.442413163,0.948231545,0.964411825,1,X1O2NoCyA - X1O2PlusCyA,Olfactory Transduction
(KEGG) Taste transduction,0.191846523,0.678014422,0.1875,0.835477941,0.006194044,0.532687815,0.809947008,1,X1O2NoCyA - X1O2PlusCyA,Taste Transduction
(KEGG) Phototransduction,0.149028078,0.630774524,0.377094972,0.945329815,NA,NA,0.914391127,1,X1O2NoCyA - X1O2PlusCyA,Phototransduction
(KEGG) Inflammatory mediator regulation of TRP channels,0.942528736,0.997779412,0.455479452,0.945329815,0.574047955,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Inflammatory Mediator Regulation Of Trp Channels
(KEGG) Regulation of actin cytoskeleton,0.546468401,0.979994958,0.427094105,0.945329815,0.601351351,0.951582618,0.998925166,1,X1O2NoCyA - X1O2PlusCyA,Regulation Of Actin Cytoskeleton
(KEGG) Insulin signaling pathway,0.740532959,0.997779412,0.497348887,0.945329815,0.30518018,0.948231545,0.999773309,1,X1O2NoCyA - X1O2PlusCyA,Insulin Signaling Pathway
(KEGG) Insulin secretion,0.019791966,0.364753086,0.279487179,0.930600169,0.169444444,0.942982456,0.941488738,1,X1O2NoCyA - X1O2PlusCyA,Insulin Secretion
(KEGG) GnRH signaling pathway,0.919003115,0.997779412,0.2043379,0.83945887,0.132768362,0.942982456,0.999119467,1,X1O2NoCyA - X1O2PlusCyA,Gnrh Signaling Pathway
(KEGG) Ovarian steroidogenesis,0.405772496,0.921133184,0.373611111,0.945329815,0.251923077,0.942982456,0.996004744,1,X1O2NoCyA - X1O2PlusCyA,Ovarian Steroidogenesis
(KEGG) Progesterone-mediated oocyte maturation,0.13803681,0.622762885,0.70814978,0.945329815,0.167506297,0.942982456,0.978172639,1,X1O2NoCyA - X1O2PlusCyA,Progesterone-Mediated Oocyte Maturation
(KEGG) Estrogen signaling pathway,0.803230543,0.997779412,0.875428571,0.967340332,0.453580902,0.948231545,0.999867107,1,X1O2NoCyA - X1O2PlusCyA,Estrogen Signaling Pathway
(KEGG) Melanogenesis,0.905882353,0.997779412,0.555164319,0.945329815,0.170662906,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Melanogenesis
(KEGG) Prolactin signaling pathway,0.326647564,0.825913761,0.540540541,0.945329815,0.441466855,0.948231545,0.991935027,1,X1O2NoCyA - X1O2PlusCyA,Prolactin Signaling Pathway
(KEGG) Thyroid hormone synthesis,0.024115756,0.364753086,0.586121437,0.945329815,0.778461538,0.951582618,0.953853641,1,X1O2NoCyA - X1O2PlusCyA,Thyroid Hormone Synthesis
(KEGG) Thyroid hormone signaling pathway,0.983766234,0.997779412,0.03444564,0.434876211,0.72175981,0.951582618,0.993903701,1,X1O2NoCyA - X1O2PlusCyA,Thyroid Hormone Signaling Pathway
(KEGG) Adipocytokine signaling pathway,0.014530546,0.364753086,0.201845444,0.83945887,0.855820106,0.951582618,0.908546984,1,X1O2NoCyA - X1O2PlusCyA,Adipocytokine Signaling Pathway
(KEGG) Oxytocin signaling pathway,0.890295359,0.997779412,0.843073593,0.967340332,0.042079208,0.942982456,0.999852156,1,X1O2NoCyA - X1O2PlusCyA,Oxytocin Signaling Pathway
(KEGG) Glucagon signaling pathway,0.096676737,0.603174603,0.787671233,0.950854118,0.08459596,0.942982456,0.978198354,1,X1O2NoCyA - X1O2PlusCyA,Glucagon Signaling Pathway
(KEGG) Regulation of lipolysis in adipocytes,0.831578947,0.997779412,0.299123905,0.945329815,0.711734694,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Regulation Of Lipolysis In Adipocytes
(KEGG) Renin secretion,0.099502488,0.603174603,0.670157068,0.945329815,0.517884914,0.951582618,0.979028357,1,X1O2NoCyA - X1O2PlusCyA,Renin Secretion
(KEGG) Aldosterone synthesis and secretion,0.184331797,0.674437517,0.884841363,0.967340332,0.718528996,0.951582618,0.988808438,1,X1O2NoCyA - X1O2PlusCyA,Aldosterone Synthesis And Secretion
(KEGG) Relaxin signaling pathway,0.160228898,0.630774524,0.567627494,0.945329815,0.425925926,0.948231545,0.980162029,1,X1O2NoCyA - X1O2PlusCyA,Relaxin Signaling Pathway
(KEGG) Cortisol synthesis and secretion,0.02955665,0.364753086,0.45443038,0.945329815,0.847222222,0.951582618,0.953853641,1,X1O2NoCyA - X1O2PlusCyA,Cortisol Synthesis And Secretion
"(KEGG) Parathyroid hormone synthesis, secretion and action",0.725,0.997779412,0.664179104,0.945329815,0.782051282,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,"Parathyroid Hormone Synthesis, Secretion And Action"
(KEGG) GnRH secretion,0.916666667,0.997779412,0.741573034,0.945329815,0.620895522,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Gnrh Secretion
(KEGG) Type II diabetes mellitus,0.875318066,0.997779412,0.191747573,0.83945887,0.638554217,0.951582618,0.999248382,1,X1O2NoCyA - X1O2PlusCyA,Type Ii Diabetes Mellitus
(KEGG) Insulin resistance,0.034074074,0.378465608,0.467342342,0.945329815,0.631188119,0.951582618,0.955843615,1,X1O2NoCyA - X1O2PlusCyA,Insulin Resistance
(KEGG) Non-alcoholic fatty liver disease,0.256838906,0.771401486,0.912,0.968493151,0.397877984,0.948231545,0.992706735,1,X1O2NoCyA - X1O2PlusCyA,Non-Alcoholic Fatty Liver Disease
(KEGG) AGE-RAGE signaling pathway in diabetic complications,0.635514019,0.997779412,0.477578475,0.945329815,0.215017065,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Age-Rage Signaling Pathway In Diabetic Complications
(KEGG) Cushing syndrome,0.626229508,0.997779412,0.857929515,0.967340332,0.555837563,0.951582618,0.999876468,1,X1O2NoCyA - X1O2PlusCyA,Cushing Syndrome
"(KEGG) Growth hormone synthesis, secretion and action",0.204081633,0.684694171,0.439427313,0.945329815,0.274559194,0.942982456,0.982761817,1,X1O2NoCyA - X1O2PlusCyA,"Growth Hormone Synthesis, Secretion And Action"
(KEGG) Type I diabetes mellitus,0.440449438,0.936966187,0.677298311,0.945329815,NA,NA,0.98658295,1,X1O2NoCyA - X1O2PlusCyA,Type I Diabetes Mellitus
(KEGG) Maturity onset diabetes of the young,0.523636364,0.975155144,NA,NA,NA,NA,0.975155144,1,X1O2NoCyA - X1O2PlusCyA,Maturity Onset Diabetes Of The Young
(KEGG) Aldosterone-regulated sodium reabsorption,0.259933775,0.771401486,0.387179487,0.945329815,0.750819672,0.951582618,0.989619588,1,X1O2NoCyA - X1O2PlusCyA,Aldosterone-Regulated Sodium Reabsorption
(KEGG) Endocrine and other factor-regulated calcium reabsorption,0.216624685,0.700539759,0.641025641,0.945329815,0.650819672,0.951582618,0.985618614,1,X1O2NoCyA - X1O2PlusCyA,Endocrine And Other Factor-Regulated Calcium Reabsorption
(KEGG) Vasopressin-regulated water reabsorption,0.174438687,0.661590631,0.361788618,0.945329815,0.457692308,0.948231545,0.982353078,1,X1O2NoCyA - X1O2PlusCyA,Vasopressin-Regulated Water Reabsorption
(KEGG) Proximal tubule bicarbonate reclamation,0.61452514,0.997779412,0.337797619,0.945329815,0.090384615,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Proximal Tubule Bicarbonate Reclamation
(KEGG) Salivary secretion,0.906666667,0.997779412,0.733990148,0.945329815,0.842723005,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Salivary Secretion
(KEGG) Gastric acid secretion,0.867208672,0.997779412,0.771084337,0.947139072,0.580597015,0.951582618,0.999796255,1,X1O2NoCyA - X1O2PlusCyA,Gastric Acid Secretion
(KEGG) Pancreatic secretion,0.078098472,0.57830059,0.359848485,0.945329815,0.842723005,0.951582618,0.977093796,1,X1O2NoCyA - X1O2PlusCyA,Pancreatic Secretion
(KEGG) Carbohydrate digestion and absorption,0.738596491,0.997779412,0.220833333,0.857606011,0.622406639,0.951582618,0.999356222,1,X1O2NoCyA - X1O2PlusCyA,Carbohydrate Digestion And Absorption
(KEGG) Fat digestion and absorption,0.541071429,0.979994958,0.791744841,0.951046091,NA,NA,0.995635202,1,X1O2NoCyA - X1O2PlusCyA,Fat Digestion And Absorption
(KEGG) Bile secretion,0.818661972,0.997779412,0.414596273,0.945329815,NA,NA,0.999166472,1,X1O2NoCyA - X1O2PlusCyA,Bile Secretion
(KEGG) Vitamin digestion and absorption,NA,NA,NA,NA,NA,NA,NA,NA,X1O2NoCyA - X1O2PlusCyA,Vitamin Digestion And Absorption
(KEGG) Mineral absorption,0.101075269,0.603174603,0.64727955,0.945329815,0.607883817,0.951582618,0.979028357,1,X1O2NoCyA - X1O2PlusCyA,Mineral Absorption
(KEGG) Cholesterol metabolism,0.834710744,0.997779412,0.812265332,0.957651344,0.053571429,0.942982456,0.999807633,1,X1O2NoCyA - X1O2PlusCyA,Cholesterol Metabolism
(KEGG) Alzheimer disease,0.352459016,0.869958366,0.67715736,0.945329815,0.65990991,0.951582618,0.994349837,1,X1O2NoCyA - X1O2PlusCyA,Alzheimer Disease
(KEGG) Parkinson disease,0.025424404,0.364753086,0.605102041,0.945329815,0.806973848,0.951582618,0.953853641,1,X1O2NoCyA - X1O2PlusCyA,Parkinson Disease
(KEGG) Amyotrophic lateral sclerosis,0.495934959,0.963973577,0.757916241,0.946838583,0.426872771,0.948231545,0.998197536,1,X1O2NoCyA - X1O2PlusCyA,Amyotrophic Lateral Sclerosis
(KEGG) Huntington disease,0.35971223,0.873988309,0.990721649,0.996789192,0.418549346,0.948231545,0.999250175,1,X1O2NoCyA - X1O2PlusCyA,Huntington Disease
(KEGG) Spinocerebellar ataxia,1,1,0.955366631,0.97489522,0.34529703,0.948231545,0.99438995,1,X1O2NoCyA - X1O2PlusCyA,Spinocerebellar Ataxia
(KEGG) Prion disease,0.738255034,0.997779412,0.95872033,0.97489522,0.561868687,0.951582618,0.99990492,1,X1O2NoCyA - X1O2PlusCyA,Prion Disease
(KEGG) Cocaine addiction,0.253658537,0.771401486,0.427848101,0.945329815,0.31377551,0.948231545,0.989092375,1,X1O2NoCyA - X1O2PlusCyA,Cocaine Addiction
(KEGG) Amphetamine addiction,0.465437788,0.958616901,0.765734266,0.947010133,0.138613861,0.942982456,0.997795539,1,X1O2NoCyA - X1O2PlusCyA,Amphetamine Addiction
(KEGG) Morphine addiction,0.762666667,0.997779412,0.858926342,0.967340332,0.699530516,0.951582618,0.999876468,1,X1O2NoCyA - X1O2PlusCyA,Morphine Addiction
(KEGG) Alcoholism,0.84287812,0.997779412,0.682539683,0.945329815,0.042091837,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Alcoholism
(KEGG) Bacterial invasion of epithelial cells,0.261363636,0.771401486,0.094170404,0.71280623,0.431972789,0.948231545,0.954808139,1,X1O2NoCyA - X1O2PlusCyA,Bacterial Invasion Of Epithelial Cells
(KEGG) Vibrio cholerae infection,0.271929825,0.775873169,0.067088608,0.615995397,0.133802817,0.942982456,0.935810209,1,X1O2NoCyA - X1O2PlusCyA,Vibrio Cholerae Infection
(KEGG) Epithelial cell signaling in Helicobacter pylori infection,0.319148936,0.825913761,0.621454994,0.945329815,0.429837518,0.948231545,0.991935027,1,X1O2NoCyA - X1O2PlusCyA,Epithelial Cell Signaling In Helicobacter Pylori Infection
(KEGG) Pathogenic Escherichia coli infection,0.616788321,0.997779412,0.921956296,0.968493151,0.86352657,0.952093398,0.999882228,1,X1O2NoCyA - X1O2PlusCyA,Pathogenic Escherichia Coli Infection
(KEGG) Shigellosis,0.659919028,0.997779412,0.505617978,0.945329815,0.75,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Shigellosis
(KEGG) Salmonella infection,0.263598326,0.771401486,0.80162767,0.952522291,0.729608939,0.951582618,0.990662175,1,X1O2NoCyA - X1O2PlusCyA,Salmonella Infection
(KEGG) Pertussis,0.970404984,0.997779412,0.966507177,0.976172249,0.719444444,0.951582618,0.999909656,1,X1O2NoCyA - X1O2PlusCyA,Pertussis
(KEGG) Legionellosis,0.746898263,0.997779412,0.434456929,0.945329815,0.224489796,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Legionellosis
(KEGG) Yersinia infection,0.864145658,0.997779412,0.323560209,0.945329815,0.978060046,0.981865727,0.999920287,1,X1O2NoCyA - X1O2PlusCyA,Yersinia Infection
(KEGG) Leishmaniasis,0.680115274,0.997779412,0.182237601,0.834739852,0.04782074,0.942982456,0.999085732,1,X1O2NoCyA - X1O2PlusCyA,Leishmaniasis
(KEGG) Chagas disease,0.933920705,0.997779412,0.697339246,0.945329815,0.870917574,0.952104805,0.999791146,1,X1O2NoCyA - X1O2PlusCyA,Chagas Disease
(KEGG) African trypanosomiasis,0.179715302,0.666666667,0.030769231,0.405351171,0.731868132,0.951582618,0.857470521,1,X1O2NoCyA - X1O2PlusCyA,African Trypanosomiasis
(KEGG) Malaria,0.121428571,0.603174603,0.164596273,0.834739852,NA,NA,0.808674397,1,X1O2NoCyA - X1O2PlusCyA,Malaria
(KEGG) Toxoplasmosis,0.25732899,0.771401486,0.231270358,0.857606011,0.26754386,0.942982456,0.974954476,1,X1O2NoCyA - X1O2PlusCyA,Toxoplasmosis
(KEGG) Amoebiasis,0.976430976,0.997779412,0.328339576,0.945329815,0.406103286,0.948231545,0.999773309,1,X1O2NoCyA - X1O2PlusCyA,Amoebiasis
(KEGG) Staphylococcus aureus infection,0.1208981,0.603174603,0.113354037,0.720358732,NA,NA,0.725028281,1,X1O2NoCyA - X1O2PlusCyA,Staphylococcus Aureus Infection
(KEGG) Tuberculosis,0.114583333,0.603174603,0.90552017,0.967340332,0.24,0.942982456,0.983311067,1,X1O2NoCyA - X1O2PlusCyA,Tuberculosis
(KEGG) Hepatitis C,0.036329751,0.389605261,0.796178344,0.951046091,0.66540404,0.951582618,0.960141752,1,X1O2NoCyA - X1O2PlusCyA,Hepatitis C
(KEGG) Hepatitis B,0.880494505,0.997779412,0.681581686,0.945329815,0.380214541,0.948231545,0.999773309,1,X1O2NoCyA - X1O2PlusCyA,Hepatitis B
(KEGG) Measles,0.338926174,0.848181818,0.73655914,0.945329815,0.52293578,0.951582618,0.993374741,1,X1O2NoCyA - X1O2PlusCyA,Measles
(KEGG) Human cytomegalovirus infection,0.02294197,0.364753086,0.745884774,0.945329815,0.846846847,0.951582618,0.953853641,1,X1O2NoCyA - X1O2PlusCyA,Human Cytomegalovirus Infection
(KEGG) Influenza A,0.850507983,0.997779412,0.111587983,0.720358732,0.454954955,0.948231545,0.998247442,1,X1O2NoCyA - X1O2PlusCyA,Influenza A
(KEGG) Human papillomavirus infection,0.412280702,0.922440995,0.853333333,0.967340332,0.839265212,0.951582618,0.997769192,1,X1O2NoCyA - X1O2PlusCyA,Human Papillomavirus Infection
(KEGG) Human T-cell leukemia virus 1 infection,0.196990424,0.680711354,0.020597322,0.328473088,0.837416481,0.951582618,0.834818938,1,X1O2NoCyA - X1O2PlusCyA,Human T-Cell Leukemia Virus 1 Infection
(KEGG) Kaposi sarcoma-associated herpesvirus infection,0.503571429,0.972737356,0.662851197,0.945329815,0.528846154,0.951582618,0.998619204,1,X1O2NoCyA - X1O2PlusCyA,Kaposi Sarcoma-Associated Herpesvirus Infection
(KEGG) Herpes simplex virus 1 infection,0.087009804,0.603174603,0.889348501,0.967340332,0.879768786,0.953698936,0.985596514,1,X1O2NoCyA - X1O2PlusCyA,Herpes Simplex Virus 1 Infection
(KEGG) Epstein-Barr virus infection,0.092926491,0.603174603,0.574974147,0.945329815,0.455410226,0.948231545,0.978065781,1,X1O2NoCyA - X1O2PlusCyA,Epstein-Barr Virus Infection
(KEGG) Human immunodeficiency virus 1 infection,0.816091954,0.997779412,0.868367347,0.967340332,0.109613655,0.942982456,0.999852156,1,X1O2NoCyA - X1O2PlusCyA,Human Immunodeficiency Virus 1 Infection
(KEGG) Pathways in cancer,0.314553991,0.825913761,0.490853659,0.945329815,0.268980477,0.942982456,0.991307506,1,X1O2NoCyA - X1O2PlusCyA,Pathways In Cancer
(KEGG) Transcriptional misregulation in cancer,0.077192982,0.57830059,0.406340058,0.945329815,0.46676514,0.948231545,0.976057123,1,X1O2NoCyA - X1O2PlusCyA,Transcriptional Misregulation In Cancer
(KEGG) Viral carcinogenesis,0.266968326,0.771401486,0.264880952,0.913416169,0.227430556,0.942982456,0.983333263,1,X1O2NoCyA - X1O2PlusCyA,Viral Carcinogenesis
(KEGG) Chemical carcinogenesis,0.984455959,0.997779412,0.393939394,0.945329815,0.755769231,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Chemical Carcinogenesis
(KEGG) Proteoglycans in cancer,0.805706522,0.997779412,0.579710145,0.945329815,0.75282167,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Proteoglycans In Cancer
(KEGG) MicroRNAs in cancer,0.832409972,0.997779412,0.653390743,0.945329815,0.598163031,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Micrornas In Cancer
(KEGG) Colorectal cancer,0.052795031,0.482919255,0.722838137,0.945329815,0.437665782,0.948231545,0.967086486,1,X1O2NoCyA - X1O2PlusCyA,Colorectal Cancer
(KEGG) Renal cell carcinoma,0.857954545,0.997779412,0.73015873,0.945329815,0.123096447,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Renal Cell Carcinoma
(KEGG) Pancreatic cancer,0.021384808,0.364753086,0.401982379,0.945329815,0.640350877,0.951582618,0.953853641,1,X1O2NoCyA - X1O2PlusCyA,Pancreatic Cancer
(KEGG) Endometrial cancer,0.358778626,0.873988309,0.341121495,0.945329815,0.360810811,0.948231545,0.994225803,1,X1O2NoCyA - X1O2PlusCyA,Endometrial Cancer
(KEGG) Glioma,0.425287356,0.936966187,0.744,0.945329815,0.156084656,0.942982456,0.996736444,1,X1O2NoCyA - X1O2PlusCyA,Glioma
(KEGG) Prostate cancer,0.694566814,0.997779412,0.430493274,0.945329815,0.09469697,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Prostate Cancer
