Contrast,Pathway,FDR,Method,negativelog10FDR
X1O2NoCyA - X1O2PlusCyA,Hippo signaling pathway - multiple species,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Platinum drug resistance,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Gastric cancer,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Lipid and atherosclerosis,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Alcoholic liver disease,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,"Phenylalanine, tyrosine and tryptophan biosynthesis",0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Insulin signaling pathway,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Systemic lupus erythematosus,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Neuroactive ligand-receptor interaction,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Epstein-Barr virus infection,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Ether lipid metabolism,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Pathogenic Escherichia coli infection,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Proteoglycans in cancer,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Sphingolipid signaling pathway,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Transcriptional misregulation in cancer,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Amoebiasis,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Circadian rhythm,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Hippo signaling pathway,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Amphetamine addiction,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Pathways in cancer,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Ubiquitin mediated proteolysis,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Bile secretion,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Fluid shear stress and atherosclerosis,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Nitrogen metabolism,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,alpha-Linolenic acid metabolism,0.993164252,Proteomics,0.002978921
X1O2NoCyA - X1O2PlusCyA,Fanconi anemia pathway,0.994065106,Proteomics,0.002585171
X1O2NoCyA - X1O2PlusCyA,GnRH signaling pathway,0.994280294,Proteomics,0.002491168
X1O2NoCyA - X1O2PlusCyA,Progesterone-mediated oocyte maturation,0.994280294,Proteomics,0.002491168
X1O2NoCyA - X1O2PlusCyA,NF-kappa B signaling pathway,0.995670544,Proteomics,0.001884341
X1O2NoCyA - X1O2PlusCyA,AGE-RAGE signaling pathway in diabetic complications,0.997506703,Proteomics,0.001084177
X1O2NoCyA - X1O2PlusCyA,Relaxin signaling pathway,0.999920968,Proteomics,3.43E-05
X1O2NoCyA - X1O2PlusCyA,Longevity regulating pathway,0.999920968,Proteomics,3.43E-05
X1O2NoCyA - X1O2PlusCyA,Endocrine resistance,0.999920968,Proteomics,3.43E-05
X1O2NoCyA - X1O2PlusCyA,Biosynthesis of nucleotide sugars,0.999920968,Proteomics,3.43E-05
X1O2NoCyA - X1O2PlusCyA,cGMP-PKG signaling pathway,0.999920968,Proteomics,3.43E-05
X1O2NoCyA - X1O2PlusCyA,Oxidative phosphorylation,0.999920968,Proteomics,3.43E-05
X19O2NoCyA - X1O2NoCyA,Autophagy - other,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Carbon metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,DNA replication,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Glycolysis / Gluconeogenesis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Leishmaniasis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Apoptosis - multiple species,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Amino sugar and nucleotide sugar metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Ribosome biogenesis in eukaryotes,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Galactose metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Pentose phosphate pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Systemic lupus erythematosus,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Th17 cell differentiation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Starch and sucrose metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,"Alanine, aspartate and glutamate metabolism",0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Biosynthesis of amino acids,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Nucleotide excision repair,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Ovarian steroidogenesis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,N-Glycan biosynthesis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Diabetic cardiomyopathy,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Fluid shear stress and atherosclerosis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Vitamin digestion and absorption,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Rap1 signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Cocaine addiction,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Nucleocytoplasmic transport,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Epithelial cell signaling in Helicobacter pylori infection,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Nitrogen metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Maturity onset diabetes of the young,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Viral myocarditis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Synaptic vesicle cycle,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Alzheimer disease,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,RNA polymerase,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,C-type lectin receptor signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Ferroptosis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Circadian rhythm,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Spinocerebellar ataxia,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Arachidonic acid metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Pyrimidine metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Arginine and proline metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Antigen processing and presentation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Glycerophospholipid metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Lysosome,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Apelin signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Hippo signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Serotonergic synapse,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Tyrosine metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,"Glycine, serine and threonine metabolism",0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Renal cell carcinoma,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Lipid and atherosclerosis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Platinum drug resistance,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Focal adhesion,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Olfactory transduction,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Proteasome,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Citrate cycle (TCA cycle),0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Prion disease,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Colorectal cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Wnt signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Notch signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Sphingolipid signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,cAMP signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Base excision repair,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,GABAergic synapse,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Th1 and Th2 cell differentiation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Phospholipase D signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Mitophagy - animal,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Steroid biosynthesis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Ether lipid metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Alcoholism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Viral carcinogenesis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Apoptosis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Adipocytokine signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Fructose and mannose metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Endometrial cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Pancreatic cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Breast cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Cortisol synthesis and secretion,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Pathogenic Escherichia coli infection,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Inflammatory mediator regulation of TRP channels,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Bacterial invasion of epithelial cells,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Cushing syndrome,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Peroxisome,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Protein digestion and absorption,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Relaxin signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Cysteine and methionine metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Chemokine signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Insulin signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Human T-cell leukemia virus 1 infection,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Neutrophil extracellular trap formation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Carbohydrate digestion and absorption,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Gastric cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Pathways of neurodegeneration - multiple diseases,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,IL-17 signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Gap junction,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,RNA degradation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Cellular senescence,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Chemical carcinogenesis - receptor activation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Spliceosome,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Long-term potentiation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Glycerolipid metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,PI3K-Akt signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Protein processing in endoplasmic reticulum,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Morphine addiction,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Nucleotide metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Huntington disease,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Aminoacyl-tRNA biosynthesis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Prolactin signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Basal transcription factors,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,mTOR signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Cell adhesion molecules,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Salmonella infection,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Proximal tubule bicarbonate reclamation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Legionellosis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Yersinia infection,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Taste transduction,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Basal cell carcinoma,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,TNF signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Pertussis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Adrenergic signaling in cardiomyocytes,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Chagas disease,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Various types of N-glycan biosynthesis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,RIG-I-like receptor signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Vascular smooth muscle contraction,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Amphetamine addiction,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Pantothenate and CoA biosynthesis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Signaling pathways regulating pluripotency of stem cells,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Fatty acid biosynthesis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Fatty acid metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Oocyte meiosis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Arrhythmogenic right ventricular cardiomyopathy,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,NOD-like receptor signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Estrogen signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,EGFR tyrosine kinase inhibitor resistance,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Thermogenesis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Circadian entrainment,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Selenocompound metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,ErbB signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Central carbon metabolism in cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Sphingolipid metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Prostate cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Cardiac muscle contraction,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Lysine degradation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Hippo signaling pathway - multiple species,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Herpes simplex virus 1 infection,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Homologous recombination,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Viral life cycle - HIV-1,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Toll-like receptor signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Glucagon signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,B cell receptor signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Epstein-Barr virus infection,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Porphyrin metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Hedgehog signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,FoxO signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Phosphonate and phosphinate metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Phosphatidylinositol signaling system,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Endocytosis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Transcriptional misregulation in cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,MicroRNAs in cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Calcium signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Protein export,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Platelet activation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,GnRH secretion,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Primary immunodeficiency,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Leukocyte transendothelial migration,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Hematopoietic cell lineage,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Small cell lung cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Long-term depression,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Viral protein interaction with cytokine and cytokine receptor,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Axon guidance,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Cholesterol metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Adherens junction,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Kaposi sarcoma-associated herpesvirus infection,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Bile secretion,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Non-alcoholic fatty liver disease,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Inflammatory bowel disease,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Natural killer cell mediated cytotoxicity,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Gastric acid secretion,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,MAPK signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Mineral absorption,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Chronic myeloid leukemia,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Toxoplasmosis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,T cell receptor signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Mismatch repair,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Phagosome,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Vibrio cholerae infection,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Thyroid hormone signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Fatty acid elongation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Salivary secretion,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Pancreatic secretion,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Human immunodeficiency virus 1 infection,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Glyoxylate and dicarboxylate metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Aldosterone synthesis and secretion,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Aldosterone-regulated sodium reabsorption,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Ubiquitin mediated proteolysis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Ribosome,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,HIF-1 signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Insulin secretion,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Vasopressin-regulated water reabsorption,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Hypertrophic cardiomyopathy,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Retrograde endocannabinoid signaling,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Osteoclast differentiation,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,"Valine, leucine and isoleucine degradation",0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Renin-angiotensin system,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Glutamatergic synapse,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,GnRH signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Glioma,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Pyruvate metabolism,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Autophagy - animal,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Non-small cell lung cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Type I diabetes mellitus,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,AGE-RAGE signaling pathway in diabetic complications,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Hepatocellular carcinoma,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Human cytomegalovirus infection,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Intestinal immune network for IgA production,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Cholinergic synapse,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Shigellosis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Cell cycle,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Necroptosis,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Cytokine-cytokine receptor interaction,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Longevity regulating pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Thyroid cancer,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Endocrine and other factor-regulated calcium reabsorption,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,JAK-STAT signaling pathway,0.999127212,Phosphoproteomics,0.000379213
X19O2NoCyA - X1O2NoCyA,Amyotrophic lateral sclerosis,0.999127212,Phosphoproteomics,0.000379213
