Pathway name,Uniquegenes,Uniquemetabol.,Metabolomics,Metabolomics(FDR BH),Proteomics,Proteomics(FDR BH),Geneexpression,Geneexpression(FDR BH),Combined pValue(Stouffer),Combined pValue(Stouffer)[FDR BH]
RIG-I-like receptor signaling pathway,47,,0.975980743,1,0.902697626,1,0.394462502,0.991424631,0.979097265,1
cAMP signaling pathway,124,,0.805725887,1,0.490105238,1,0.887460421,1,0.845286531,1
Nitrogen metabolism,8,,-,,1,1,0.608843207,1,0.99999999,1
Chronic myeloid leukemia,69,,0.923699678,1,0.917520987,1,0.416475707,1,0.96066081,1
Protein export,23,,0.52363579,1,0.993442876,1,0.680558608,1,0.966435316,1
VEGF signaling pathway,48,,0.566774037,1,0.951486182,1,0.657660776,1,0.910602464,1
beta-Alanine metabolism,23,,1,1,0.907086579,1,0.394671374,0.991424631,0.999999582,1
Melanoma,46,,0.619447607,1,0.791380984,1,0.750692487,1,0.838139987,1
Tryptophan metabolism,26,,1,1,0.870250776,1,0.439030024,1,0.999999363,1
Rap1 signaling pathway,145,,0.518592002,1,0.761267063,1,0.970676131,1,0.888814186,1
Human cytomegalovirus infection,169,,0.880430864,1,0.982678165,1,0.468818784,1,0.982727863,1
Non-alcoholic fatty liver disease,130,,0.529452029,1,0.766666836,1,0.999859264,1,0.972575469,1
Non-homologous end-joining,13,,0.474751771,1,1,1,0.857066957,1,0.999996623,1
Vibrio cholerae infection,44,,1,1,0.902697626,1,0.499072802,1,0.999999731,1
JAK-STAT signaling pathway,86,,0.873538098,1,0.88526791,1,0.586827666,1,0.946796135,1
Gastric acid secretion,46,,0.892579553,1,0.71543415,1,0.711453678,1,0.918902502,1
Shigellosis,215,,0.737550702,1,0.841486711,1,0.785518576,1,0.914870118,1
Regulation of lipolysis in adipocytes,33,,1,1,0.762836139,1,0.644214122,1,0.999999113,1
Fatty acid biosynthesis,16,,1,1,0.805211041,1,0.612697606,1,0.999999349,1
Pyruvate metabolism,38,,1,1,0.522786648,1,0.955722626,1,0.999999423,1
Human immunodeficiency virus 1 infection,175,,0.989265893,1,0.5698762,1,0.909198972,1,0.983679826,1
Hepatitis C,116,,0.805725887,1,0.954855799,1,0.671445527,1,0.9668538,1
Porphyrin and chlorophyll metabolism,19,,1,1,0.870250776,1,0.593932662,1,0.999999705,1
Endocytosis,217,,0.797351165,1,0.682496884,1,0.958899141,1,0.936161851,1
Ether lipid metabolism,27,,1,1,0.842331213,1,0.621185676,1,0.999999612,1
DNA replication,36,,0.566774037,1,0.976510164,1,0.991879511,1,0.9899964,1
Glutamatergic synapse,74,,0.823351222,1,0.84215064,1,0.815386488,1,0.945867709,1
Acute myeloid leukemia,56,,0.891678972,1,0.758234677,1,0.841267911,1,0.950537496,1
Yersinia infection,114,,0.646769599,1,0.906239501,1,0.971024586,1,0.966615116,1
Proximal tubule bicarbonate reclamation,16,,1,1,0.585945956,1,0.983943775,1,0.99999986,1
Leukocyte transendothelial migration,81,,1,1,0.924741799,1,0.639839019,1,0.999999921,1
PD-L1 expression and PD-1 checkpoint pathway in cancer,78,,0.953993983,1,0.76742333,1,0.822319967,1,0.97350209,1
Protein digestion and absorption,42,,1,1,0.907086579,1,0.682002543,1,0.999999907,1
Steroid hormone biosynthesis,19,,-,,1,1,0.844473626,1,0.999999999,1
cGMP-PKG signaling pathway,110,,0.963344618,1,0.868737957,1,0.766910643,1,0.985463216,1
Tight junction,133,,0.894605915,1,0.779490049,1,0.929283305,1,0.970433337,1
Endocrine and other factor-regulated calcium reabsorption,36,,0.709779881,1,0.991447801,1,0.937721652,1,0.993837067,1
Thermogenesis,190,,0.910901799,1,0.725320748,1,0.999794327,1,0.995758065,1
Pancreatic secretion,56,,0.916262098,1,0.928757047,1,0.78366766,1,0.98460284,1
Mitophagy - animal,65,,0.914962652,1,0.762608901,1,0.96856709,1,0.981242472,1
Fatty acid elongation,21,,1,1,0.870250776,1,0.780612945,1,0.999999901,1
Pancreatic cancer,69,,1,1,0.959991521,1,0.739630296,1,0.999999986,1
Longevity regulating pathway - multiple species,48,,0.981302736,1,0.88526791,1,0.831138192,1,0.994037152,1
Pentose and glucuronate interconversions,13,,-,,0.907086579,1,1,1,0.99999414,1
Oxidative phosphorylation,108,,1,1,0.726482821,1,0.999869202,1,0.999999999,1
Chemokine signaling pathway,121,,0.79569555,1,0.972795257,1,0.947482259,1,0.992141597,1
Fatty acid degradation,35,,1,1,0.951486182,1,0.771791287,1,0.999999984,1
Taste transduction,34,,1,1,1,1,0.74346165,1,1,1
Bacterial invasion of epithelial cells,64,,0.993151184,1,0.961691217,1,0.818568215,1,0.999085248,1
RNA degradation,73,,0.805725887,1,0.995109539,1,0.988124031,1,0.999077693,1
Ubiquinone and other terpenoid-quinone biosynthesis,10,,-,,1,1,0.951616058,1,1,1
Citrate cycle (TCA cycle),29,,1,1,0.84215064,1,0.9827372,1,0.999999991,1
RNA transport,162,,0.845219284,1,0.998466692,1,0.999278481,1,0.999932306,1
Retrograde endocannabinoid signaling,94,,1,1,0.924741799,1,0.927967647,1,0.999999993,1
Cardiac muscle contraction,49,,1,1,0.960123348,1,0.956596198,1,0.999999999,1
Renin-angiotensin system,10,,1,1,1,1,0.936261525,1,1,1
Ascorbate and aldarate metabolism,7,,-,,1,1,1,1,1,1
"Phenylalanine, tyrosine and tryptophan biosynthesis",3,,-,,1,1,1,1,1,1
Phosphonate and phosphinate metabolism,5,,1,1,1,1,1,1,1,1
D-Glutamine and D-glutamate metabolism,4,,-,,1,1,1,1,1,1
Biotin metabolism,3,,-,,-,,1,1,1,1
