Pathway name,Uniquegenes,Uniquemetabol.,Metabolomics,Metabolomics(FDR BH),Proteomics,Proteomics(FDR BH),Geneexpression,Geneexpression(FDR BH),Combined pValue(Stouffer),Combined pValue(Stouffer)[FDR BH]
Huntington disease,255,,0.477757822,1,0.719472261,1,0.999999838,1,0.989516581,1
Pyruvate metabolism,38,,0.850257227,1,0.798997735,1,0.520224217,1,0.893257874,1
Nitrogen metabolism,8,,-,,1,1,0.613145461,1,0.99999999,1
Prolactin signaling pathway,52,,0.668283531,1,0.672853534,1,0.824428439,1,0.825174935,1
Pertussis,51,,0.742058018,1,0.506274882,1,0.997604719,1,0.936073764,1
Ferroptosis,34,,0.600395741,1,0.712048511,1,0.88396944,1,0.839006285,1
Cardiac muscle contraction,49,,0.556137169,1,0.709321529,1,0.95888949,1,0.868663402,1
Lysosome,115,,0.775925061,1,0.885645807,1,0.56476596,1,0.910181569,1
Cell cycle,118,,0.536333884,1,0.985723282,1,0.73863351,1,0.958016931,1
Fatty acid biosynthesis,16,,1,1,1,1,0.395931358,1,1,1
D-Glutamine and D-glutamate metabolism,4,,-,,1,1,0.67020401,1,0.999999994,1
Rap1 signaling pathway,145,,0.999189182,1,0.69427928,1,0.618380093,1,0.994003824,1
ErbB signaling pathway,67,,0.831009891,1,0.61335338,1,0.858334826,1,0.890368735,1
AGE-RAGE signaling pathway in diabetic complications,74,,0.91316025,1,0.816015102,1,0.587562727,1,0.940840963,1
Metabolism of xenobiotics by cytochrome P450,28,,1,1,0.554756722,1,0.79105553,1,0.999997583,1
Endocrine and other factor-regulated calcium reabsorption,36,,0.742058018,1,0.988826018,1,0.603043426,1,0.9777995,1
Carbohydrate digestion and absorption,30,,0.556137169,1,0.960924274,1,0.843864425,1,0.948011407,1
Regulation of lipolysis in adipocytes,33,,1,1,0.935574901,1,0.48642999,1,0.999999865,1
Thiamine metabolism,10,,-,,0.863722893,1,0.826738018,1,0.92276137,1
RNA transport,162,,0.468697663,1,0.999955362,1,0.999978126,1,0.999976227,1
Thyroid cancer,30,,0.91316025,1,0.916171075,1,0.565561047,1,0.967962439,1
Primary immunodeficiency,28,,0.933894866,1,0.949822997,1,0.533917013,1,0.981553966,1
RNA degradation,73,,0.519553771,1,0.948604642,1,0.989094014,1,0.975878794,1
Collecting duct acid secretion,18,,1,1,0.734440567,1,0.66713623,1,0.99999895,1
Porphyrin and chlorophyll metabolism,19,,1,1,0.625292682,1,0.785746867,1,0.999998585,1
Central carbon metabolism in cancer,55,,0.770261184,1,0.856578132,1,0.758575827,1,0.92605044,1
Carbon metabolism,99,,0.728564309,1,0.971976217,1,0.716166481,1,0.968558332,1
Starch and sucrose metabolism,27,,1,1,1,1,0.533917013,1,1,1
mRNA surveillance pathway,83,,0.665245148,1,0.963713448,1,0.837739977,1,0.966035702,1
Ubiquinone and other terpenoid-quinone biosynthesis,10,,-,,1,1,0.786405315,1,0.999999998,1
Vasopressin-regulated water reabsorption,35,,1,1,0.910320847,1,0.603043426,1,0.999999865,1
Yersinia infection,114,,0.991426237,1,0.580204534,1,0.955446944,1,0.990585629,1
Glycolysis / Gluconeogenesis,51,,0.922585407,1,0.960561266,1,0.629158933,1,0.986131304,1
Pathogenic Escherichia coli infection,162,,0.940300175,1,0.720970116,1,0.832292421,1,0.96183482,1
Homologous recombination,41,,0.694513782,1,0.97018726,1,0.851904753,1,0.974956788,1
Glutathione metabolism,37,,0.661591335,1,0.937173593,1,0.926265063,1,0.966065742,1
Salmonella infection,227,,0.993943452,1,0.666304188,1,0.871755235,1,0.990885107,1
Pentose phosphate pathway,26,,0.885951726,1,1,1,0.668071756,1,0.99999982,1
Galactose metabolism,24,,0.742058018,1,0.916171075,1,0.88856482,1,0.963401035,1
Tight junction,133,,0.973912545,1,0.87598224,1,0.743666452,1,0.988558057,1
Fatty acid degradation,35,,1,1,0.673882473,1,0.949720953,1,0.999999826,1
Drug metabolism - cytochrome P450,25,,1,1,0.775560602,1,0.844179139,1,0.999999781,1
Shigellosis,215,,0.904120129,1,0.877786356,1,0.844854116,1,0.97739017,1
"Alanine, aspartate and glutamate metabolism",24,,1,1,0.969572795,1,0.725231286,1,0.99999999,1
Synaptic vesicle cycle,52,,1,1,0.798997735,1,0.923498933,1,0.99999993,1
Coronavirus disease - COVID-19,174,,0.793360666,1,0.963454318,1,0.999973091,1,0.99943483,1
Renin-angiotensin system,10,,1,1,0.825102122,1,0.937649437,1,0.99999996,1
Primary bile acid biosynthesis,9,,-,,1,1,0.937649437,1,1,1
Phenylalanine metabolism,11,,-,,1,1,0.952773849,1,1,1
Tryptophan metabolism,26,,1,1,0.848493503,1,0.968832904,1,0.999999986,1
Non-homologous end-joining,13,,1,1,1,1,0.860076775,1,1,1
Proteasome,45,,0.885951726,1,0.98482995,1,0.994638905,1,0.999262467,1
Bacterial invasion of epithelial cells,64,,0.99574278,1,0.882347892,1,0.994829618,1,0.999752364,1
Endocytosis,217,,0.994164463,1,0.930839963,1,0.989453317,1,0.999771068,1
"Phenylalanine, tyrosine and tryptophan biosynthesis",3,,-,,1,1,1,1,1,1
Taurine and hypotaurine metabolism,5,,-,,1,1,1,1,1,1
Glycosphingolipid biosynthesis - globo and isoglobo series,11,,-,,1,1,1,1,1,1
