Pathway name,Uniquegenes,Uniquemetabol.,Proteomics,Proteomics(FDR BH),Geneexpression,Geneexpression(FDR BH),Proteomics,Proteomics(FDR BH),Combined pValue(Fisher),Combined pValue(Fisher)[FDR BH]
Fluid shear stress and atherosclerosis,93,,0.821077878,1,0.71314663,1,0.821077878,1,0.898937951,0.999484377
Amoebiasis,57,,0.752341121,1,0.779053381,1,0.752341121,1,0.899240055,0.999484377
Pancreatic secretion,48,,0.884404494,1,0.663647333,1,0.884404494,1,0.899676914,0.999484377
Progesterone-mediated oocyte maturation,73,,0.597126507,1,0.997519337,1,0.597126507,1,0.904255009,0.999484377
p53 signaling pathway,65,,0.608317247,1,0.986841126,1,0.608317247,1,0.906654914,0.999484377
Long-term depression,42,,0.884404494,1,0.689293717,1,0.884404494,1,0.911330064,0.999484377
Ras signaling pathway,143,,0.849073859,1,0.721361377,1,0.849073859,1,0.912746032,0.999484377
"Parathyroid hormone synthesis, secretion and action",77,,0.967588567,1,0.639056357,1,0.967588567,1,0.915588175,0.999484377
Endocytosis,215,,0.767900246,1,0.80648324,1,0.767900246,1,0.916046543,0.999484377
Nitrogen metabolism,6,,0.72714387,1,0.859858511,1,0.72714387,1,0.91886542,0.999484377
JAK-STAT signaling pathway,80,,0.630463795,1,0.994325598,1,0.630463795,1,0.919635988,0.999484377
ECM-receptor interaction,37,,0.845787182,1,0.741916496,1,0.845787182,1,0.919923898,0.999484377
Diabetic cardiomyopathy,158,,0.632275042,1,0.999999615,1,0.632275042,1,0.922129275,0.999484377
Porphyrin and chlorophyll metabolism,19,,0.672003482,1,0.958276229,1,0.672003482,1,0.927381001,0.999484377
Proteoglycans in cancer,144,,0.764905394,1,0.847456566,1,0.764905394,1,0.929241439,0.999484377
Phototransduction,13,,0.935507611,1,0.694291757,1,0.935507611,1,0.929799881,0.999484377
Colorectal cancer,76,,0.667177108,1,0.975550687,1,0.667177108,1,0.930380985,0.999484377
Basal transcription factors,42,,0.653014311,1,0.998911755,1,0.653014311,1,0.930997201,0.999484377
Salivary secretion,47,,0.948882843,1,0.689293717,1,0.948882843,1,0.931744788,0.999484377
Renin secretion,36,,0.746146089,1,0.876808325,1,0.746146089,1,0.931816144,0.999484377
Glutamatergic synapse,65,,0.855910988,1,0.76618567,1,0.855910988,1,0.932476039,0.999484377
Cholinergic synapse,71,,0.764338195,1,0.861794496,1,0.764338195,1,0.933699764,0.999484377
Morphine addiction,45,,0.914813181,1,0.720713227,1,0.914813181,1,0.933956442,0.999484377
Primary bile acid biosynthesis,9,,0.817373027,1,0.815688321,1,0.817373027,1,0.936999023,0.999484377
Tuberculosis,125,,0.914483975,1,0.746663723,1,0.914483975,1,0.943329167,0.999484377
GABAergic synapse,46,,0.911446177,1,0.750012971,1,0.911446177,1,0.943628011,0.999484377
Endocrine and other factor-regulated calcium reabsorption,34,,0.758032258,1,0.91765971,1,0.758032258,1,0.948094918,0.999484377
Chemical carcinogenesis - receptor activation,119,,0.725384876,1,0.963142758,1,0.725384876,1,0.949189357,0.999484377
Ubiquinone and other terpenoid-quinone biosynthesis,9,,0.72714387,1,0.96224718,1,0.72714387,1,0.949562586,0.999484377
Non-homologous end-joining,13,,0.720492425,1,0.985894508,1,0.720492425,1,0.953280902,0.999484377
Adrenergic signaling in cardiomyocytes,87,,0.734049617,1,0.984536156,1,0.734049617,1,0.957404309,0.999484377
Fanconi anemia pathway,52,,0.798779049,1,0.90807342,1,0.798779049,1,0.958260605,0.999484377
Ovarian steroidogenesis,23,,0.892696167,1,0.81253927,1,0.892696167,1,0.95826082,0.999484377
Caffeine metabolism,1,,0.72714387,1,1,1,0.72714387,1,0.958834394,0.999484377
Lipoic acid metabolism,3,,0.72714387,1,1,1,0.72714387,1,0.958834394,0.999484377
Sphingolipid signaling pathway,93,,0.885263918,1,0.822731429,1,0.885263918,1,0.959212775,0.999484377
Vasopressin-regulated water reabsorption,34,,0.85190402,1,0.85557918,1,0.85190402,1,0.95938277,0.999484377
Apelin signaling pathway,96,,0.973264724,1,0.754375989,1,0.973264724,1,0.961050899,0.999484377
Riboflavin metabolism,7,,0.817373027,1,0.899025413,1,0.817373027,1,0.961245764,0.999484377
MicroRNAs in cancer,140,,0.948000951,1,0.778884808,1,0.948000951,1,0.962329277,0.999484377
Autophagy - other,30,,0.966773898,1,0.773845866,1,0.966773898,1,0.965222412,0.999484377
ErbB signaling pathway,66,,0.79546958,1,0.953310605,1,0.79546958,1,0.968111743,0.999484377
Platinum drug resistance,59,,0.849498017,1,0.893129081,1,0.849498017,1,0.968217266,0.999484377
PPAR signaling pathway,41,,0.930929856,1,0.826601834,1,0.930929856,1,0.971122205,0.999484377
Neutrophil extracellular trap formation,130,,0.774511923,1,0.999935545,1,0.774511923,1,0.972404175,0.999484377
Toxoplasmosis,92,,0.989924937,1,0.785493273,1,0.989924937,1,0.973194669,0.999484377
Longevity regulating pathway - multiple species,48,,0.975890024,1,0.80214523,1,0.975890024,1,0.974491886,0.999484377
Systemic lupus erythematosus,87,,0.789521496,1,0.999946173,1,0.789521496,1,0.97609766,0.999484377
Alzheimer disease,284,,0.805514296,1,0.986807348,1,0.805514296,1,0.977357632,0.999484377
Alcoholism,126,,0.796016229,1,0.999829535,1,0.796016229,1,0.977584985,0.999484377
Adherens junction,61,,0.849498017,1,0.937762907,1,0.849498017,1,0.977755223,0.999484377
Glycosphingolipid biosynthesis - globo and isoglobo series,10,,0.979743282,1,0.815688321,1,0.979743282,1,0.978328114,0.999484377
Tight junction,124,,0.825745846,1,0.986816594,1,0.825745846,1,0.981693528,0.999484377
D-Glutamine and D-glutamate metabolism,5,,0.817373027,1,1,1,0.817373027,1,0.982204232,0.999484377
"Neomycin, kanamycin and gentamicin biosynthesis",3,,0.817373027,1,1,1,0.817373027,1,0.982204232,0.999484377
Parkinson disease,202,,0.833210891,1,0.999999934,1,0.833210891,1,0.985245621,0.999484377
Dopaminergic synapse,87,,0.837851477,1,0.995542344,1,0.837851477,1,0.985410407,0.999484377
Pentose phosphate pathway,26,,0.845636241,1,0.988117395,1,0.845636241,1,0.985675969,0.999484377
Thiamine metabolism,10,,0.85247884,1,0.980414177,1,0.85247884,1,0.985710876,0.999484377
Folate biosynthesis,15,,0.970023808,1,0.866504611,1,0.970023808,1,0.986549103,0.999484377
Taste transduction,31,,0.935507611,1,0.901498936,1,0.935507611,1,0.987035811,0.999484377
Hippo signaling pathway - multiple species,21,,0.960863386,1,0.878578227,1,0.960863386,1,0.987177571,0.999484377
Apoptosis - multiple species,26,,0.951738333,1,0.890464684,1,0.951738333,1,0.987729354,0.999484377
Prion disease,211,,0.851542504,1,0.999995053,1,0.851542504,1,0.9883897,0.999484377
Amyotrophic lateral sclerosis,289,,0.87074246,1,0.999998581,1,0.87074246,1,0.991260907,0.999484377
FoxO signaling pathway,105,,0.967630638,1,0.901605743,1,0.967630638,1,0.991491833,0.999484377
Serotonergic synapse,62,,0.909857062,1,0.979864339,1,0.909857062,1,0.993892824,0.999484377
Glutathione metabolism,35,,0.998989076,1,0.91152083,1,0.998989076,1,0.995879046,0.999484377
Spinocerebellar ataxia,114,,0.944202699,1,0.967774629,1,0.944202699,1,0.996170959,0.999484377
Phosphatidylinositol signaling system,82,,0.973264724,1,0.953727493,1,0.973264724,1,0.997360559,0.999484377
Olfactory transduction,27,,0.970023808,1,0.95793492,1,0.970023808,1,0.997433788,0.999484377
Pathways of neurodegeneration - multiple diseases,358,,0.936300585,1,0.998463018,1,0.936300585,1,0.997830863,0.999484377
Circadian entrainment,56,,0.961009929,1,0.974052242,1,0.961009929,1,0.997911738,0.999484377
Retrograde endocannabinoid signaling,91,,0.973216042,1,0.96816067,1,0.973216042,1,0.998298189,0.999484377
Huntington disease,240,,0.943888085,1,0.999999977,1,0.943888085,1,0.998395425,0.999484377
Proteasome,45,,0.947208922,1,0.999952495,1,0.947208922,1,0.99857892,0.999484377
Homologous recombination,41,,0.968684114,1,0.999354993,1,0.968684114,1,0.999484377,0.999484377
