Pathway.name,Unique.genes,Phosphoproteomics,PhosphoproteomicsFDR_BH,Proteomics,ProteomicsFDR_BH,Transcriptomics,TranscriptomicsFDR_BH,Combined,CombinedFDR_BH,Contrast
Arginine biosynthesis,17,NA,NA,0.554756722,1.00E+00,0.510176006,1,0.552287325,1,X1O2NoCyA - X1O2PlusCyA
Diabetic cardiomyopathy,159,0.580385197,1,0.206512318,1.00E+00,0.999616762,1,0.815213173,1,X1O2NoCyA - X1O2PlusCyA
Regulation of actin cytoskeleton,159,0.902459608,1,0.332985422,1.00E+00,0.400597643,1,0.68156041,1,X1O2NoCyA - X1O2PlusCyA
Osteoclast differentiation,98,0.564165208,1,0.303064021,1.00E+00,0.716166481,1,0.496461414,1,X1O2NoCyA - X1O2PlusCyA
Basal transcription factors,42,0.977860637,1,0.137548136,1.00E+00,0.912664567,1,0.871308543,1,X1O2NoCyA - X1O2PlusCyA
beta-Alanine metabolism,23,1,1,0.316289724,1.00E+00,0.40237783,1,0.999916605,1,X1O2NoCyA - X1O2PlusCyA
Kaposi sarcoma-associated herpesvirus infection,150,0.528961033,1,0.318761228,1.00E+00,0.762731953,1,0.506800971,1,X1O2NoCyA - X1O2PlusCyA
African trypanosomiasis,20,1,1,0.208240155,1.00E+00,0.618864381,1,0.999914751,1,X1O2NoCyA - X1O2PlusCyA
Glycosaminoglycan degradation,17,NA,NA,0.775560602,1.00E+00,0.395931358,1,0.697338729,1,X1O2NoCyA - X1O2PlusCyA
VEGF signaling pathway,48,0.851779794,1,0.834378721,1.00E+00,0.186777272,0.903720431,0.834680054,1,X1O2NoCyA - X1O2PlusCyA
Apoptosis,118,0.49981754,1,0.342437705,1.00E+00,0.804814224,1,0.526691147,1,X1O2NoCyA - X1O2PlusCyA
Axon guidance,121,0.338985142,1,0.527790674,1.00E+00,0.784919207,1,0.530658733,1,X1O2NoCyA - X1O2PlusCyA
cAMP signaling pathway,124,0.857457065,1,0.539960744,1.00E+00,0.313344172,1,0.718576817,1,X1O2NoCyA - X1O2PlusCyA
Gap junction,63,0.250870063,1,0.709321529,1.00E+00,0.819549003,1,0.606288088,1,X1O2NoCyA - X1O2PlusCyA
One carbon pool by folate,18,1,1,0.949822997,1.00E+00,0.153683126,0.83671924,0.999999365,1,X1O2NoCyA - X1O2PlusCyA
Drug metabolism - other enzymes,39,0.522552184,1,0.635696584,1.00E+00,0.442074576,1,0.581730243,1,X1O2NoCyA - X1O2PlusCyA
Phosphatidylinositol signaling system,84,0.77560316,1,0.247535041,1.00E+00,0.781648957,1,0.637952776,1,X1O2NoCyA - X1O2PlusCyA
Inositol phosphate metabolism,67,0.600728786,1,0.258828947,1.00E+00,0.965504358,1,0.672757209,1,X1O2NoCyA - X1O2PlusCyA
Pathways in cancer,364,0.874343243,1,0.455769423,1.00E+00,0.377923234,1,0.712307344,1,X1O2NoCyA - X1O2PlusCyA
Apelin signaling pathway,99,0.804852106,1,0.566291496,1.00E+00,0.330804725,1,0.692532692,1,X1O2NoCyA - X1O2PlusCyA
Prion disease,222,0.206177924,1,0.736418024,1.00E+00,0.995232054,1,0.808322407,1,X1O2NoCyA - X1O2PlusCyA
Pantothenate and CoA biosynthesis,16,0.417971624,1,0.383809925,1.00E+00,0.942533996,1,0.610068021,1,X1O2NoCyA - X1O2PlusCyA
PD-L1 expression and PD-1 checkpoint pathway in cancer,78,0.735101165,1,0.280366502,1.00E+00,0.7527908,1,0.616859664,1,X1O2NoCyA - X1O2PlusCyA
"Growth hormone synthesis, secretion and action",88,0.210309331,1,0.944179871,1.00E+00,0.781648957,1,0.789554843,1,X1O2NoCyA - X1O2PlusCyA
Adipocytokine signaling pathway,54,0.770261184,1,0.635696584,1.00E+00,0.317032212,1,0.700889008,1,X1O2NoCyA - X1O2PlusCyA
Pentose and glucuronate interconversions,13,NA,NA,0.893826986,1.00E+00,0.38929831,1,0.823633146,1,X1O2NoCyA - X1O2PlusCyA
Glyoxylate and dicarboxylate metabolism,23,0.417971624,1,0.758316129,1.00E+00,0.496306214,1,0.623964232,1,X1O2NoCyA - X1O2PlusCyA
Olfactory transduction,30,0.417971624,1,0.383809925,1.00E+00,0.983541602,1,0.689316833,1,X1O2NoCyA - X1O2PlusCyA
Fanconi anemia pathway,53,0.937100286,1,0.308500741,1.00E+00,0.55626988,1,0.768313281,1,X1O2NoCyA - X1O2PlusCyA
Non-small cell lung cancer,62,0.600728786,1,0.771839166,1.00E+00,0.349291001,1,0.692168044,1,X1O2NoCyA - X1O2PlusCyA
Ras signaling pathway,150,0.92226733,1,0.507950906,1.00E+00,0.349358642,1,0.78672596,1,X1O2NoCyA - X1O2PlusCyA
Chemical carcinogenesis - DNA adducts,20,1,1,0.18427114,1.00E+00,0.895762494,1,0.999976573,1,X1O2NoCyA - X1O2PlusCyA
HIF-1 signaling pathway,88,0.719444614,1,0.239511049,1.00E+00,0.960553396,1,0.725094425,1,X1O2NoCyA - X1O2PlusCyA
Aldosterone-regulated sodium reabsorption,27,0.742058018,1,0.625292682,1.00E+00,0.362388942,1,0.690681688,1,X1O2NoCyA - X1O2PlusCyA
Glucagon signaling pathway,85,0.45960944,1,0.566291496,1.00E+00,0.653077892,1,0.576739697,1,X1O2NoCyA - X1O2PlusCyA
Histidine metabolism,11,NA,NA,0.712017161,1.00E+00,0.520272762,1,0.693919805,1,X1O2NoCyA - X1O2PlusCyA
Lysine degradation,51,0.887766217,1,0.19763981,1.00E+00,0.978466656,1,0.846950324,1,X1O2NoCyA - X1O2PlusCyA
Breast cancer,107,0.668212421,1,0.291697779,1.00E+00,0.887501284,1,0.654057313,1,X1O2NoCyA - X1O2PlusCyA
Amino sugar and nucleotide sugar metabolism,44,1,1,0.979568293,1.00E+00,0.179848554,0.900072234,0.999999867,1,X1O2NoCyA - X1O2PlusCyA
Base excision repair,33,0.250870063,1,0.712048511,1.00E+00,0.995638562,1,0.824620786,1,X1O2NoCyA - X1O2PlusCyA
Longevity regulating pathway - multiple species,48,0.770261184,1,0.709321529,1.00E+00,0.341869209,1,0.753698498,1,X1O2NoCyA - X1O2PlusCyA
Epithelial cell signaling in Helicobacter pylori infection,60,0.435222827,1,0.61335338,1.00E+00,0.700729769,1,0.611401432,1,X1O2NoCyA - X1O2PlusCyA
Hepatitis C,116,0.857457065,1,0.366982478,1.00E+00,0.605378696,1,0.720055938,1,X1O2NoCyA - X1O2PlusCyA
Other glycan degradation,15,NA,NA,0.712017161,1.00E+00,0.566409552,1,0.714427326,1,X1O2NoCyA - X1O2PlusCyA
Phototransduction,14,NA,NA,0.630523244,1.00E+00,0.643374851,1,0.682277966,1,X1O2NoCyA - X1O2PlusCyA
Mitophagy - animal,65,0.806589556,1,0.255262787,1.00E+00,0.941402418,1,0.771372633,1,X1O2NoCyA - X1O2PlusCyA
Chagas disease,69,0.742058018,1,0.360112488,1.00E+00,0.728690828,1,0.665608831,1,X1O2NoCyA - X1O2PlusCyA
Amoebiasis,59,1,1,0.227971399,1.00E+00,0.859862675,1,0.999979521,1,X1O2NoCyA - X1O2PlusCyA
Ascorbate and aldarate metabolism,7,NA,NA,0.775560602,1.00E+00,0.535325556,1,0.756970499,1,X1O2NoCyA - X1O2PlusCyA
Neurotrophin signaling pathway,100,0.453764887,1,0.539960744,1.00E+00,0.822441529,1,0.635023034,1,X1O2NoCyA - X1O2PlusCyA
Hepatitis B,134,0.760129423,1,0.730021934,1.00E+00,0.369439429,1,0.768217817,1,X1O2NoCyA - X1O2PlusCyA
Chemokine signaling pathway,121,0.719444614,1,0.534956377,1.00E+00,0.540559229,1,0.683400884,1,X1O2NoCyA - X1O2PlusCyA
Tyrosine metabolism,20,NA,NA,0.478311484,1.00E+00,0.895762494,1,0.724000731,1,X1O2NoCyA - X1O2PlusCyA
Human immunodeficiency virus 1 infection,175,0.339909891,1,0.731659373,1.00E+00,0.844553361,1,0.698828791,1,X1O2NoCyA - X1O2PlusCyA
Mineral absorption,35,0.742058018,1,0.478311484,1.00E+00,0.603043426,1,0.688365973,1,X1O2NoCyA - X1O2PlusCyA
Sulfur metabolism,8,NA,NA,0.712017161,1.00E+00,0.613145461,1,0.73490633,1,X1O2NoCyA - X1O2PlusCyA
Glioma,59,0.27049006,1,0.894692586,1.00E+00,0.89181494,1,0.812859329,1,X1O2NoCyA - X1O2PlusCyA
Oxidative phosphorylation,108,1,1,0.219762926,1.00E+00,0.999183418,1,0.999999474,1,X1O2NoCyA - X1O2PlusCyA
Vitamin B6 metabolism,6,NA,NA,1,1.00E+00,0.447319713,1,0.999999967,1,X1O2NoCyA - X1O2PlusCyA
Riboflavin metabolism,7,NA,NA,0.526019279,1.00E+00,0.856563742,1,0.725536224,1,X1O2NoCyA - X1O2PlusCyA
Leukocyte transendothelial migration,81,0.950561878,1,0.896229102,1.00E+00,0.263120294,1,0.951182636,1,X1O2NoCyA - X1O2PlusCyA
"Parathyroid hormone synthesis, secretion and action",78,0.429350557,1,0.857116392,1.00E+00,0.612352126,1,0.753818029,1,X1O2NoCyA - X1O2PlusCyA
Wnt signaling pathway,122,0.337280811,1,0.713164622,1.00E+00,0.942855,1,0.75754502,1,X1O2NoCyA - X1O2PlusCyA
Apoptosis - multiple species,28,0.742058018,1,0.313283544,1.00E+00,0.979593971,1,0.81533815,1,X1O2NoCyA - X1O2PlusCyA
IL-17 signaling pathway,60,0.681173738,1,0.463059687,1.00E+00,0.724960822,1,0.683935662,1,X1O2NoCyA - X1O2PlusCyA
Steroid biosynthesis,19,0.417971624,1,0.848493503,1.00E+00,0.645678116,1,0.750846117,1,X1O2NoCyA - X1O2PlusCyA
Morphine addiction,46,1,1,0.571155812,1.00E+00,0.405424553,1,0.999986336,1,X1O2NoCyA - X1O2PlusCyA
Taste transduction,34,0.23699422,1,1,1.00E+00,0.978996753,1,0.999995617,1,X1O2NoCyA - X1O2PlusCyA
Spliceosome,133,0.236925299,1,0.988991948,1.00E+00,0.999981731,1,0.995446184,1,X1O2NoCyA - X1O2PlusCyA
EGFR tyrosine kinase inhibitor resistance,58,0.580385197,1,0.463059687,1.00E+00,0.878566185,1,0.699371306,1,X1O2NoCyA - X1O2PlusCyA
Glycosphingolipid biosynthesis - ganglio series,14,NA,NA,0.630523244,1.00E+00,0.742317405,1,0.731855549,1,X1O2NoCyA - X1O2PlusCyA
Phosphonate and phosphinate metabolism,5,0.23699422,1,1,1.00E+00,1,1,1,1,X1O2NoCyA - X1O2PlusCyA
Endocrine resistance,83,0.429350557,1,0.798997735,1.00E+00,0.704056733,1,0.736990462,1,X1O2NoCyA - X1O2PlusCyA
Fc gamma R-mediated phagocytosis,77,0.923448476,1,0.806992749,1.00E+00,0.327189541,1,0.907779241,1,X1O2NoCyA - X1O2PlusCyA
Mismatch repair,23,0.362788475,1,0.944224567,1.00E+00,0.725231286,1,0.849413155,1,X1O2NoCyA - X1O2PlusCyA
"Glycine, serine and threonine metabolism",29,1,1,0.875255465,1.00E+00,0.289807031,1,0.999998731,1,X1O2NoCyA - X1O2PlusCyA
Melanoma,46,0.668283531,1,0.758316129,1.00E+00,0.504875197,1,0.771936302,1,X1O2NoCyA - X1O2PlusCyA
Non-alcoholic fatty liver disease,130,0.376112314,1,0.688654002,1.00E+00,0.988458052,1,0.838356721,1,X1O2NoCyA - X1O2PlusCyA
Platinum drug resistance,59,0.547877851,1,0.482599472,1.00E+00,0.97557187,1,0.790813822,1,X1O2NoCyA - X1O2PlusCyA
Tuberculosis,127,0.77560316,1,0.351126517,1.00E+00,0.948162216,1,0.809224036,1,X1O2NoCyA - X1O2PlusCyA
Nicotinate and nicotinamide metabolism,27,0.339724601,1,0.848493503,1.00E+00,0.906293782,1,0.817491479,1,X1O2NoCyA - X1O2PlusCyA
Glycosphingolipid biosynthesis - lacto and neolacto series,18,NA,NA,NA,NA,0.848250135,1,0.848250135,1,X1O2NoCyA - X1O2PlusCyA
Purine metabolism,99,0.568852976,1,0.999957593,1.00E+00,0.465217853,1,0.995766942,1,X1O2NoCyA - X1O2PlusCyA
Chronic myeloid leukemia,69,0.857457065,1,0.95222205,1.00E+00,0.324754151,1,0.946120498,1,X1O2NoCyA - X1O2PlusCyA
Maturity onset diabetes of the young,9,1,1,0.39202277,1.00E+00,0.680550025,1,0.999984977,1,X1O2NoCyA - X1O2PlusCyA
Measles,110,0.998139849,1,0.369998679,1.00E+00,0.733478684,1,0.972970879,1,X1O2NoCyA - X1O2PlusCyA
Nicotine addiction,12,NA,NA,NA,NA,0.860076775,1,0.860076775,1,X1O2NoCyA - X1O2PlusCyA
Glycosaminoglycan biosynthesis - keratan sulfate,11,NA,NA,1,1.00E+00,0.520272762,1,0.999999981,1,X1O2NoCyA - X1O2PlusCyA
Selenocompound metabolism,15,0.556137169,1,0.893826986,1.00E+00,0.566409552,1,0.833227507,1,X1O2NoCyA - X1O2PlusCyA
Propanoate metabolism,32,0.803442221,1,0.630119987,1.00E+00,0.565561047,1,0.79931771,1,X1O2NoCyA - X1O2PlusCyA
Toll-like receptor signaling pathway,68,0.96172388,1,0.370952679,1.00E+00,0.833363179,1,0.906554281,1,X1O2NoCyA - X1O2PlusCyA
Thyroid hormone signaling pathway,100,0.699206,1,0.466639708,1.00E+00,0.916502085,1,0.793944823,1,X1O2NoCyA - X1O2PlusCyA
Amyotrophic lateral sclerosis,302,0.308565973,1,0.992400821,1.00E+00,0.999999785,1,0.999303467,1,X1O2NoCyA - X1O2PlusCyA
"Neomycin, kanamycin and gentamicin biosynthesis",3,NA,NA,1,1.00E+00,0.564766174,1,0.999999986,1,X1O2NoCyA - X1O2PlusCyA
Autophagy - other,30,0.949691846,1,0.428300399,1.00E+00,0.769310056,1,0.893014406,1,X1O2NoCyA - X1O2PlusCyA
Thermogenesis,190,0.453764887,1,0.705226269,1.00E+00,0.999304126,1,0.933887564,1,X1O2NoCyA - X1O2PlusCyA
Ribosome,133,0.378284221,1,0.857508164,1.00E+00,0.999998849,1,0.989586437,1,X1O2NoCyA - X1O2PlusCyA
Hepatocellular carcinoma,131,0.375832741,1,0.90514056,1.00E+00,0.955476152,1,0.903074305,1,X1O2NoCyA - X1O2PlusCyA
Hedgehog signaling pathway,40,0.885951726,1,0.383809925,1.00E+00,0.979458127,1,0.916975233,1,X1O2NoCyA - X1O2PlusCyA
Huntington disease,255,0.477757822,1,0.719472261,1.00E+00,0.999999838,1,0.989516581,1,X1O2NoCyA - X1O2PlusCyA
Pyruvate metabolism,38,0.850257227,1,0.798997735,1.00E+00,0.520224217,1,0.893257874,1,X1O2NoCyA - X1O2PlusCyA
Nitrogen metabolism,8,NA,NA,1,1.00E+00,0.613145461,1,0.99999999,1,X1O2NoCyA - X1O2PlusCyA
Prolactin signaling pathway,52,0.668283531,1,0.672853534,1.00E+00,0.824428439,1,0.825174935,1,X1O2NoCyA - X1O2PlusCyA
Pertussis,51,0.742058018,1,0.506274882,1.00E+00,0.997604719,1,0.936073764,1,X1O2NoCyA - X1O2PlusCyA
Ferroptosis,34,0.600395741,1,0.712048511,1.00E+00,0.88396944,1,0.839006285,1,X1O2NoCyA - X1O2PlusCyA
Cardiac muscle contraction,49,0.556137169,1,0.709321529,1.00E+00,0.95888949,1,0.868663402,1,X1O2NoCyA - X1O2PlusCyA
Lysosome,115,0.775925061,1,0.885645807,1.00E+00,0.56476596,1,0.910181569,1,X1O2NoCyA - X1O2PlusCyA
Cell cycle,118,0.536333884,1,0.985723282,1.00E+00,0.73863351,1,0.958016931,1,X1O2NoCyA - X1O2PlusCyA
Fatty acid biosynthesis,16,1,1,1,1.00E+00,0.395931358,1,1,1,X1O2NoCyA - X1O2PlusCyA
D-Glutamine and D-glutamate metabolism,4,NA,NA,1,1.00E+00,0.67020401,1,0.999999994,1,X1O2NoCyA - X1O2PlusCyA
Rap1 signaling pathway,145,0.999189182,1,0.69427928,1.00E+00,0.618380093,1,0.994003824,1,X1O2NoCyA - X1O2PlusCyA
ErbB signaling pathway,67,0.831009891,1,0.61335338,1.00E+00,0.858334826,1,0.890368735,1,X1O2NoCyA - X1O2PlusCyA
AGE-RAGE signaling pathway in diabetic complications,74,0.91316025,1,0.816015102,1.00E+00,0.587562727,1,0.940840963,1,X1O2NoCyA - X1O2PlusCyA
Metabolism of xenobiotics by cytochrome P450,28,1,1,0.554756722,1.00E+00,0.79105553,1,0.999997583,1,X1O2NoCyA - X1O2PlusCyA
Endocrine and other factor-regulated calcium reabsorption,36,0.742058018,1,0.988826018,1.00E+00,0.603043426,1,0.9777995,1,X1O2NoCyA - X1O2PlusCyA
Carbohydrate digestion and absorption,30,0.556137169,1,0.960924274,1.00E+00,0.843864425,1,0.948011407,1,X1O2NoCyA - X1O2PlusCyA
Regulation of lipolysis in adipocytes,33,1,1,0.935574901,1.00E+00,0.48642999,1,0.999999865,1,X1O2NoCyA - X1O2PlusCyA
Thiamine metabolism,10,NA,NA,0.863722893,1.00E+00,0.826738018,1,0.92276137,1,X1O2NoCyA - X1O2PlusCyA
RNA transport,162,0.468697663,1,0.999955362,1.00E+00,0.999978126,1,0.999976227,1,X1O2NoCyA - X1O2PlusCyA
Thyroid cancer,30,0.91316025,1,0.916171075,1.00E+00,0.565561047,1,0.967962439,1,X1O2NoCyA - X1O2PlusCyA
Primary immunodeficiency,28,0.933894866,1,0.949822997,1.00E+00,0.533917013,1,0.981553966,1,X1O2NoCyA - X1O2PlusCyA
RNA degradation,73,0.519553771,1,0.948604642,1.00E+00,0.989094014,1,0.975878794,1,X1O2NoCyA - X1O2PlusCyA
Collecting duct acid secretion,18,1,1,0.734440567,1.00E+00,0.66713623,1,0.99999895,1,X1O2NoCyA - X1O2PlusCyA
Porphyrin and chlorophyll metabolism,19,1,1,0.625292682,1.00E+00,0.785746867,1,0.999998585,1,X1O2NoCyA - X1O2PlusCyA
Central carbon metabolism in cancer,55,0.770261184,1,0.856578132,1.00E+00,0.758575827,1,0.92605044,1,X1O2NoCyA - X1O2PlusCyA
Carbon metabolism,99,0.728564309,1,0.971976217,1.00E+00,0.716166481,1,0.968558332,1,X1O2NoCyA - X1O2PlusCyA
Starch and sucrose metabolism,27,1,1,1,1.00E+00,0.533917013,1,1,1,X1O2NoCyA - X1O2PlusCyA
mRNA surveillance pathway,83,0.665245148,1,0.963713448,1.00E+00,0.837739977,1,0.966035702,1,X1O2NoCyA - X1O2PlusCyA
Ubiquinone and other terpenoid-quinone biosynthesis,10,NA,NA,1,1.00E+00,0.786405315,1,0.999999998,1,X1O2NoCyA - X1O2PlusCyA
Vasopressin-regulated water reabsorption,35,1,1,0.910320847,1.00E+00,0.603043426,1,0.999999865,1,X1O2NoCyA - X1O2PlusCyA
Yersinia infection,114,0.991426237,1,0.580204534,1.00E+00,0.955446944,1,0.990585629,1,X1O2NoCyA - X1O2PlusCyA
Glycolysis / Gluconeogenesis,51,0.922585407,1,0.960561266,1.00E+00,0.629158933,1,0.986131304,1,X1O2NoCyA - X1O2PlusCyA
Pathogenic Escherichia coli infection,162,0.940300175,1,0.720970116,1.00E+00,0.832292421,1,0.96183482,1,X1O2NoCyA - X1O2PlusCyA
Homologous recombination,41,0.694513782,1,0.97018726,1.00E+00,0.851904753,1,0.974956788,1,X1O2NoCyA - X1O2PlusCyA
Glutathione metabolism,37,0.661591335,1,0.937173593,1.00E+00,0.926265063,1,0.966065742,1,X1O2NoCyA - X1O2PlusCyA
Salmonella infection,227,0.993943452,1,0.666304188,1.00E+00,0.871755235,1,0.990885107,1,X1O2NoCyA - X1O2PlusCyA
Pentose phosphate pathway,26,0.885951726,1,1,1.00E+00,0.668071756,1,0.99999982,1,X1O2NoCyA - X1O2PlusCyA
Galactose metabolism,24,0.742058018,1,0.916171075,1.00E+00,0.88856482,1,0.963401035,1,X1O2NoCyA - X1O2PlusCyA
Tight junction,133,0.973912545,1,0.87598224,1.00E+00,0.743666452,1,0.988558057,1,X1O2NoCyA - X1O2PlusCyA
Fatty acid degradation,35,1,1,0.673882473,1.00E+00,0.949720953,1,0.999999826,1,X1O2NoCyA - X1O2PlusCyA
Drug metabolism - cytochrome P450,25,1,1,0.775560602,1.00E+00,0.844179139,1,0.999999781,1,X1O2NoCyA - X1O2PlusCyA
Shigellosis,215,0.904120129,1,0.877786356,1.00E+00,0.844854116,1,0.97739017,1,X1O2NoCyA - X1O2PlusCyA
"Alanine, aspartate and glutamate metabolism",24,1,1,0.969572795,1.00E+00,0.725231286,1,0.99999999,1,X1O2NoCyA - X1O2PlusCyA
Synaptic vesicle cycle,52,1,1,0.798997735,1.00E+00,0.923498933,1,0.99999993,1,X1O2NoCyA - X1O2PlusCyA
Coronavirus disease - COVID-19,174,0.793360666,1,0.963454318,1.00E+00,0.999973091,1,0.99943483,1,X1O2NoCyA - X1O2PlusCyA
Renin-angiotensin system,10,1,1,0.825102122,1.00E+00,0.937649437,1,0.99999996,1,X1O2NoCyA - X1O2PlusCyA
Primary bile acid biosynthesis,9,NA,NA,1,1.00E+00,0.937649437,1,1,1,X1O2NoCyA - X1O2PlusCyA
Phenylalanine metabolism,11,NA,NA,1,1.00E+00,0.952773849,1,1,1,X1O2NoCyA - X1O2PlusCyA
Tryptophan metabolism,26,1,1,0.848493503,1.00E+00,0.968832904,1,0.999999986,1,X1O2NoCyA - X1O2PlusCyA
Non-homologous end-joining,13,1,1,1,1.00E+00,0.860076775,1,1,1,X1O2NoCyA - X1O2PlusCyA
Proteasome,45,0.885951726,1,0.98482995,1.00E+00,0.994638905,1,0.999262467,1,X1O2NoCyA - X1O2PlusCyA
Bacterial invasion of epithelial cells,64,0.99574278,1,0.882347892,1.00E+00,0.994829618,1,0.999752364,1,X1O2NoCyA - X1O2PlusCyA
Endocytosis,217,0.994164463,1,0.930839963,1.00E+00,0.989453317,1,0.999771068,1,X1O2NoCyA - X1O2PlusCyA
"Phenylalanine, tyrosine and tryptophan biosynthesis",3,NA,NA,1,1.00E+00,1,1,1,1,X1O2NoCyA - X1O2PlusCyA
Taurine and hypotaurine metabolism,5,NA,NA,1,1.00E+00,1,1,1,1,X1O2NoCyA - X1O2PlusCyA
Glycosphingolipid biosynthesis - globo and isoglobo series,11,NA,NA,1,1.00E+00,1,1,1,1,X1O2NoCyA - X1O2PlusCyA
Ribosome,133,0.669017421,1,2.87E-11,9.74E-09,1,1,0.064559221,1,X1O2NoCyA - X19O2NoCyA
Coronavirus disease - COVID-19,174,0.914509186,1,1.25E-08,2.11E-06,0.99922766,1,0.066391619,1,X1O2NoCyA - X19O2NoCyA
Autoimmune thyroid disease,28,0.709779881,1,3.67E-06,4.14E-04,0.621185676,1,0.007527361,0.64908281,X1O2NoCyA - X19O2NoCyA
Allograft rejection,28,0.709779881,1,1.74E-05,1.18E-03,0.621185676,1,0.013650324,0.64908281,X1O2NoCyA - X19O2NoCyA
Graft-versus-host disease,29,0.709779881,1,1.74E-05,1.18E-03,0.660713491,1,0.015138958,0.64908281,X1O2NoCyA - X19O2NoCyA
Staphylococcus aureus infection,38,0.52363579,1,5.99E-05,2.90E-03,0.547716412,1,0.007902881,0.64908281,X1O2NoCyA - X19O2NoCyA
Systemic lupus erythematosus,96,0.390922785,1,0.044313668,6.82E-01,0.001421356,0.320248552,0.007407288,0.64908281,X1O2NoCyA - X19O2NoCyA
Type I diabetes mellitus,31,0.7735513,1,5.99E-05,2.90E-03,0.731616473,1,0.038495688,0.91080694,X1O2NoCyA - X19O2NoCyA
Cell adhesion molecules,81,0.507926523,1,0.000258751,9.75E-03,0.362222893,0.991424631,0.008714395,0.64908281,X1O2NoCyA - X19O2NoCyA
Asthma,19,0.628136217,1,0.000222996,9.45E-03,0.813914937,1,0.042486621,0.91080694,X1O2NoCyA - X19O2NoCyA
Cushing syndrome,110,0.015947539,0.5514195,0.404484985,1.00E+00,0.052270027,0.755748916,0.014300828,0.64908281,X1O2NoCyA - X19O2NoCyA
Tuberculosis,127,0.189466483,1,0.003678969,1.05E-01,0.603831591,1,0.013338185,0.64908281,X1O2NoCyA - X19O2NoCyA
HIF-1 signaling pathway,88,0.289988131,1,0.07333961,8.53E-01,0.020711637,0.527115666,0.018266745,0.69616595,X1O2NoCyA - X19O2NoCyA
Rheumatoid arthritis,63,0.628136217,1,0.011745863,2.84E-01,0.059846676,0.760274436,0.0317001,0.91080694,X1O2NoCyA - X19O2NoCyA
Intestinal immune network for IgA production,35,0.823351222,1,0.001166785,3.96E-02,0.594226412,1,0.100831948,1,X1O2NoCyA - X19O2NoCyA
Viral myocarditis,51,0.367537376,1,0.003717136,1.05E-01,0.712519877,1,0.040543841,0.91080694,X1O2NoCyA - X19O2NoCyA
Alcoholism,140,0.848168271,1,0.722235721,1.00E+00,0.001867338,0.320248552,0.476210431,1,X1O2NoCyA - X19O2NoCyA
Linoleic acid metabolism,9,NA,NA,NA,NA,0.041731617,0.7533655,0.041731617,0.91080694,X1O2NoCyA - X19O2NoCyA
Terpenoid backbone biosynthesis,21,1,1,0.081602726,8.92E-01,0.022499656,0.527115666,0.993659364,1,X1O2NoCyA - X19O2NoCyA
Hematopoietic cell lineage,53,0.619447607,1,0.017019838,3.39E-01,0.179285078,0.991424631,0.062885017,1,X1O2NoCyA - X19O2NoCyA
Hippo signaling pathway,118,0.044879595,0.9713227,0.11864744,1.00E+00,0.375119009,0.991424631,0.022616301,0.77573913,X1O2NoCyA - X19O2NoCyA
Antigen processing and presentation,55,0.367537376,1,0.014211695,3.21E-01,0.393676195,0.991424631,0.040140292,0.91080694,X1O2NoCyA - X19O2NoCyA
Glycerophospholipid metabolism,66,0.679436653,1,0.016694865,3.39E-01,0.241955041,0.991424631,0.089186279,1,X1O2NoCyA - X19O2NoCyA
Herpes simplex virus 1 infection,433,0.874628519,1,0.511799931,1.00E+00,0.006811978,0.470352547,0.429346622,1,X1O2NoCyA - X19O2NoCyA
Leishmaniasis,59,0.445174681,1,0.01148106,2.84E-01,0.637601201,1,0.076100557,1,X1O2NoCyA - X19O2NoCyA
Transcriptional misregulation in cancer,126,0.684308361,1,0.688470271,1.00E+00,0.008602772,0.470352547,0.388282704,1,X1O2NoCyA - X19O2NoCyA
Lysine degradation,51,0.668412648,1,0.142199303,1.00E+00,0.046420322,0.755748916,0.145238908,1,X1O2NoCyA - X19O2NoCyA
PPAR signaling pathway,49,1,1,0.048002602,6.82E-01,0.092637022,0.860669327,0.995046023,1,X1O2NoCyA - X19O2NoCyA
Fructose and mannose metabolism,29,1,1,0.402329017,1.00E+00,0.011155445,0.470352547,0.999124843,1,X1O2NoCyA - X19O2NoCyA
Necroptosis,125,0.01796087,0.5514195,0.646473915,1.00E+00,0.393618249,0.991424631,0.10838766,1,X1O2NoCyA - X19O2NoCyA
Starch and sucrose metabolism,27,0.390922785,1,0.609942032,1.00E+00,0.02165361,0.527115666,0.218125531,1,X1O2NoCyA - X19O2NoCyA
Other glycan degradation,15,NA,NA,0.328560228,1.00E+00,0.066047769,0.809085171,0.125089034,1,X1O2NoCyA - X19O2NoCyA
Oxytocin signaling pathway,110,0.335568993,1,0.039674221,6.40E-01,0.422847657,1,0.067737466,1,X1O2NoCyA - X19O2NoCyA
Melanogenesis,69,0.069938361,1,0.494173868,1.00E+00,0.164272638,0.991424631,0.087929553,1,X1O2NoCyA - X19O2NoCyA
Amyotrophic lateral sclerosis,302,0.005981416,0.5514195,0.999984425,1.00E+00,0.999999997,1,0.999499898,1,X1O2NoCyA - X19O2NoCyA
Alzheimer disease,300,0.006838766,0.5514195,0.875936394,1.00E+00,1,1,0.935122358,1,X1O2NoCyA - X19O2NoCyA
Lysosome,115,0.731494869,1,0.646906693,1.00E+00,0.013712902,0.470352547,0.420787582,1,X1O2NoCyA - X19O2NoCyA
Viral carcinogenesis,179,0.945991772,1,0.999049892,1.00E+00,0.006998331,0.470352547,0.983169993,1,X1O2NoCyA - X19O2NoCyA
