"","Pathway.name","Unique.genes","Phosphoproteomics","PhosphoproteomicsFDR_BH","Proteomics","ProteomicsFDR_BH","Transcriptomics","TranscriptomicsFDR_BH","Combined","CombinedFDR_BH","Contrast","Proteomics_FDR","Phosphoproteomics_FDR","Transcriptomics_FDR","Combined_FDR"
"256","EGFR tyrosine kinase inhibitor resistance"," 58","0.580385197","1.0000000","0.463059687","1.000000e+00","0.8785661850","1.000000000","0.699371306","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"257","Glycosphingolipid biosynthesis - ganglio series"," 14",NA,NA,"0.630523244","1.000000e+00","0.7423174050","1.000000000","0.731855549","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"258","Phosphonate and phosphinate metabolism","  5","0.23699422","1.0000000","1","1.000000e+00","1.0000000000","1.000000000","1.000000000","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"259","Endocrine resistance"," 83","0.429350557","1.0000000","0.798997735","1.000000e+00","0.7040567330","1.000000000","0.736990462","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"260","Fc gamma R-mediated phagocytosis"," 77","0.923448476","1.0000000","0.806992749","1.000000e+00","0.3271895410","1.000000000","0.907779241","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"261","Mismatch repair"," 23","0.362788475","1.0000000","0.944224567","1.000000e+00","0.7252312860","1.000000000","0.849413155","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"262","Glycine, serine and threonine metabolism"," 29","1","1.0000000","0.875255465","1.000000e+00","0.2898070310","1.000000000","0.999998731","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"263","Melanoma"," 46","0.668283531","1.0000000","0.758316129","1.000000e+00","0.5048751970","1.000000000","0.771936302","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"264","Non-alcoholic fatty liver disease","130","0.376112314","1.0000000","0.688654002","1.000000e+00","0.9884580520","1.000000000","0.838356721","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"265","Platinum drug resistance"," 59","0.547877851","1.0000000","0.482599472","1.000000e+00","0.9755718700","1.000000000","0.790813822","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"266","Tuberculosis","127","0.77560316","1.0000000","0.351126517","1.000000e+00","0.9481622160","1.000000000","0.809224036","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"267","Nicotinate and nicotinamide metabolism"," 27","0.339724601","1.0000000","0.848493503","1.000000e+00","0.9062937820","1.000000000","0.817491479","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"268","Glycosphingolipid biosynthesis - lacto and neolacto series"," 18",NA,NA,NA,NA,"0.8482501350","1.000000000","0.848250135","1.00000000","X1O2NoCyA - X1O2PlusCyA",NA,NA,1,1
"269","Purine metabolism"," 99","0.568852976","1.0000000","0.999957593","1.000000e+00","0.4652178530","1.000000000","0.995766942","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"270","Chronic myeloid leukemia"," 69","0.857457065","1.0000000","0.95222205","1.000000e+00","0.3247541510","1.000000000","0.946120498","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"271","Maturity onset diabetes of the young","  9","1","1.0000000","0.39202277","1.000000e+00","0.6805500250","1.000000000","0.999984977","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"272","Measles","110","0.998139849","1.0000000","0.369998679","1.000000e+00","0.7334786840","1.000000000","0.972970879","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"273","Nicotine addiction"," 12",NA,NA,NA,NA,"0.8600767750","1.000000000","0.860076775","1.00000000","X1O2NoCyA - X1O2PlusCyA",NA,NA,1,1
"274","Glycosaminoglycan biosynthesis - keratan sulfate"," 11",NA,NA,"1","1.000000e+00","0.5202727620","1.000000000","0.999999981","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"275","Selenocompound metabolism"," 15","0.556137169","1.0000000","0.893826986","1.000000e+00","0.5664095520","1.000000000","0.833227507","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"276","Propanoate metabolism"," 32","0.803442221","1.0000000","0.630119987","1.000000e+00","0.5655610470","1.000000000","0.799317710","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"277","Toll-like receptor signaling pathway"," 68","0.96172388","1.0000000","0.370952679","1.000000e+00","0.8333631790","1.000000000","0.906554281","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"278","Thyroid hormone signaling pathway","100","0.699206","1.0000000","0.466639708","1.000000e+00","0.9165020850","1.000000000","0.793944823","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"279","Amyotrophic lateral sclerosis","302","0.308565973","1.0000000","0.992400821","1.000000e+00","0.9999997850","1.000000000","0.999303467","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"280","Neomycin, kanamycin and gentamicin biosynthesis","  3",NA,NA,"1","1.000000e+00","0.5647661740","1.000000000","0.999999986","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"281","Autophagy - other"," 30","0.949691846","1.0000000","0.428300399","1.000000e+00","0.7693100560","1.000000000","0.893014406","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"282","Thermogenesis","190","0.453764887","1.0000000","0.705226269","1.000000e+00","0.9993041260","1.000000000","0.933887564","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"283","Ribosome","133","0.378284221","1.0000000","0.857508164","1.000000e+00","0.9999988490","1.000000000","0.989586437","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"284","Hepatocellular carcinoma","131","0.375832741","1.0000000","0.90514056","1.000000e+00","0.9554761520","1.000000000","0.903074305","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"285","Hedgehog signaling pathway"," 40","0.885951726","1.0000000","0.383809925","1.000000e+00","0.9794581270","1.000000000","0.916975233","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"286","Huntington disease","255","0.477757822","1.0000000","0.719472261","1.000000e+00","0.9999998380","1.000000000","0.989516581","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"287","Pyruvate metabolism"," 38","0.850257227","1.0000000","0.798997735","1.000000e+00","0.5202242170","1.000000000","0.893257874","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"288","Nitrogen metabolism","  8",NA,NA,"1","1.000000e+00","0.6131454610","1.000000000","0.999999990","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"289","Prolactin signaling pathway"," 52","0.668283531","1.0000000","0.672853534","1.000000e+00","0.8244284390","1.000000000","0.825174935","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"290","Pertussis"," 51","0.742058018","1.0000000","0.506274882","1.000000e+00","0.9976047190","1.000000000","0.936073764","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"291","Ferroptosis"," 34","0.600395741","1.0000000","0.712048511","1.000000e+00","0.8839694400","1.000000000","0.839006285","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"292","Cardiac muscle contraction"," 49","0.556137169","1.0000000","0.709321529","1.000000e+00","0.9588894900","1.000000000","0.868663402","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"293","Lysosome","115","0.775925061","1.0000000","0.885645807","1.000000e+00","0.5647659600","1.000000000","0.910181569","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"294","Cell cycle","118","0.536333884","1.0000000","0.985723282","1.000000e+00","0.7386335100","1.000000000","0.958016931","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"295","Fatty acid biosynthesis"," 16","1","1.0000000","1","1.000000e+00","0.3959313580","1.000000000","1.000000000","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"296","D-Glutamine and D-glutamate metabolism","  4",NA,NA,"1","1.000000e+00","0.6702040100","1.000000000","0.999999994","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"297","Rap1 signaling pathway","145","0.999189182","1.0000000","0.69427928","1.000000e+00","0.6183800930","1.000000000","0.994003824","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"298","ErbB signaling pathway"," 67","0.831009891","1.0000000","0.61335338","1.000000e+00","0.8583348260","1.000000000","0.890368735","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"299","AGE-RAGE signaling pathway in diabetic complications"," 74","0.91316025","1.0000000","0.816015102","1.000000e+00","0.5875627270","1.000000000","0.940840963","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"300","Metabolism of xenobiotics by cytochrome P450"," 28","1","1.0000000","0.554756722","1.000000e+00","0.7910555300","1.000000000","0.999997583","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"301","Endocrine and other factor-regulated calcium reabsorption"," 36","0.742058018","1.0000000","0.988826018","1.000000e+00","0.6030434260","1.000000000","0.977799500","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"302","Carbohydrate digestion and absorption"," 30","0.556137169","1.0000000","0.960924274","1.000000e+00","0.8438644250","1.000000000","0.948011407","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"303","Regulation of lipolysis in adipocytes"," 33","1","1.0000000","0.935574901","1.000000e+00","0.4864299900","1.000000000","0.999999865","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"304","Thiamine metabolism"," 10",NA,NA,"0.863722893","1.000000e+00","0.8267380180","1.000000000","0.922761370","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"305","RNA transport","162","0.468697663","1.0000000","0.999955362","1.000000e+00","0.9999781260","1.000000000","0.999976227","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"306","Thyroid cancer"," 30","0.91316025","1.0000000","0.916171075","1.000000e+00","0.5655610470","1.000000000","0.967962439","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"307","Primary immunodeficiency"," 28","0.933894866","1.0000000","0.949822997","1.000000e+00","0.5339170130","1.000000000","0.981553966","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"308","RNA degradation"," 73","0.519553771","1.0000000","0.948604642","1.000000e+00","0.9890940140","1.000000000","0.975878794","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"309","Collecting duct acid secretion"," 18","1","1.0000000","0.734440567","1.000000e+00","0.6671362300","1.000000000","0.999998950","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"310","Porphyrin and chlorophyll metabolism"," 19","1","1.0000000","0.625292682","1.000000e+00","0.7857468670","1.000000000","0.999998585","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"311","Central carbon metabolism in cancer"," 55","0.770261184","1.0000000","0.856578132","1.000000e+00","0.7585758270","1.000000000","0.926050440","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"312","Carbon metabolism"," 99","0.728564309","1.0000000","0.971976217","1.000000e+00","0.7161664810","1.000000000","0.968558332","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"313","Starch and sucrose metabolism"," 27","1","1.0000000","1","1.000000e+00","0.5339170130","1.000000000","1.000000000","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"314","mRNA surveillance pathway"," 83","0.665245148","1.0000000","0.963713448","1.000000e+00","0.8377399770","1.000000000","0.966035702","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"315","Ubiquinone and other terpenoid-quinone biosynthesis"," 10",NA,NA,"1","1.000000e+00","0.7864053150","1.000000000","0.999999998","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"316","Vasopressin-regulated water reabsorption"," 35","1","1.0000000","0.910320847","1.000000e+00","0.6030434260","1.000000000","0.999999865","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"317","Yersinia infection","114","0.991426237","1.0000000","0.580204534","1.000000e+00","0.9554469440","1.000000000","0.990585629","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"318","Glycolysis / Gluconeogenesis"," 51","0.922585407","1.0000000","0.960561266","1.000000e+00","0.6291589330","1.000000000","0.986131304","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"319","Pathogenic Escherichia coli infection","162","0.940300175","1.0000000","0.720970116","1.000000e+00","0.8322924210","1.000000000","0.961834820","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"320","Homologous recombination"," 41","0.694513782","1.0000000","0.97018726","1.000000e+00","0.8519047530","1.000000000","0.974956788","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"321","Glutathione metabolism"," 37","0.661591335","1.0000000","0.937173593","1.000000e+00","0.9262650630","1.000000000","0.966065742","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"322","Salmonella infection","227","0.993943452","1.0000000","0.666304188","1.000000e+00","0.8717552350","1.000000000","0.990885107","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"323","Pentose phosphate pathway"," 26","0.885951726","1.0000000","1","1.000000e+00","0.6680717560","1.000000000","0.999999820","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"324","Galactose metabolism"," 24","0.742058018","1.0000000","0.916171075","1.000000e+00","0.8885648200","1.000000000","0.963401035","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"325","Tight junction","133","0.973912545","1.0000000","0.87598224","1.000000e+00","0.7436664520","1.000000000","0.988558057","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"326","Fatty acid degradation"," 35","1","1.0000000","0.673882473","1.000000e+00","0.9497209530","1.000000000","0.999999826","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"327","Drug metabolism - cytochrome P450"," 25","1","1.0000000","0.775560602","1.000000e+00","0.8441791390","1.000000000","0.999999781","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"328","Shigellosis","215","0.904120129","1.0000000","0.877786356","1.000000e+00","0.8448541160","1.000000000","0.977390170","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"329","Alanine, aspartate and glutamate metabolism"," 24","1","1.0000000","0.969572795","1.000000e+00","0.7252312860","1.000000000","0.999999990","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"330","Synaptic vesicle cycle"," 52","1","1.0000000","0.798997735","1.000000e+00","0.9234989330","1.000000000","0.999999930","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"331","Coronavirus disease - COVID-19","174","0.793360666","1.0000000","0.963454318","1.000000e+00","0.9999730910","1.000000000","0.999434830","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"332","Renin-angiotensin system"," 10","1","1.0000000","0.825102122","1.000000e+00","0.9376494370","1.000000000","0.999999960","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"333","Primary bile acid biosynthesis","  9",NA,NA,"1","1.000000e+00","0.9376494370","1.000000000","1.000000000","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"334","Phenylalanine metabolism"," 11",NA,NA,"1","1.000000e+00","0.9527738490","1.000000000","1.000000000","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"335","Tryptophan metabolism"," 26","1","1.0000000","0.848493503","1.000000e+00","0.9688329040","1.000000000","0.999999986","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"336","Non-homologous end-joining"," 13","1","1.0000000","1","1.000000e+00","0.8600767750","1.000000000","1.000000000","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"337","Proteasome"," 45","0.885951726","1.0000000","0.98482995","1.000000e+00","0.9946389050","1.000000000","0.999262467","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"338","Bacterial invasion of epithelial cells"," 64","0.99574278","1.0000000","0.882347892","1.000000e+00","0.9948296180","1.000000000","0.999752364","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"339","Endocytosis","217","0.994164463","1.0000000","0.930839963","1.000000e+00","0.9894533170","1.000000000","0.999771068","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"340","Phenylalanine, tyrosine and tryptophan biosynthesis","  3",NA,NA,"1","1.000000e+00","1.0000000000","1.000000000","1.000000000","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"341","Taurine and hypotaurine metabolism","  5",NA,NA,"1","1.000000e+00","1.0000000000","1.000000000","1.000000000","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"342","Glycosphingolipid biosynthesis - globo and isoglobo series"," 11",NA,NA,"1","1.000000e+00","1.0000000000","1.000000000","1.000000000","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"343","Ribosome","133","0.669017421","1.0000000","2.87E-11","9.740000e-09","1.0000000000","1.000000000","0.064559221","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"344","Coronavirus disease - COVID-19","174","0.914509186","1.0000000","1.25E-08","2.110000e-06","0.9992276600","1.000000000","0.066391619","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"345","Autoimmune thyroid disease"," 28","0.709779881","1.0000000","3.67E-06","4.141950e-04","0.6211856760","1.000000000","0.007527361","0.64908281","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"346","Allograft rejection"," 28","0.709779881","1.0000000","1.74E-05","1.181613e-03","0.6211856760","1.000000000","0.013650324","0.64908281","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"347","Graft-versus-host disease"," 29","0.709779881","1.0000000","1.74E-05","1.181613e-03","0.6607134910","1.000000000","0.015138958","0.64908281","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"348","Staphylococcus aureus infection"," 38","0.52363579","1.0000000","5.99E-05","2.899722e-03","0.5477164120","1.000000000","0.007902881","0.64908281","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"349","Systemic lupus erythematosus"," 96","0.390922785","1.0000000","0.044313668","6.816730e-01","0.0014213560","0.320248552","0.007407288","0.64908281","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"350","Type I diabetes mellitus"," 31","0.7735513","1.0000000","5.99E-05","2.899722e-03","0.7316164730","1.000000000","0.038495688","0.91080694","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"351","Cell adhesion molecules"," 81","0.507926523","1.0000000","0.000258751","9.746296e-03","0.3622228930","0.991424631","0.008714395","0.64908281","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"352","Asthma"," 19","0.628136217","1.0000000","0.000222996","9.449471e-03","0.8139149370","1.000000000","0.042486621","0.91080694","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"353","Cushing syndrome","110","0.015947539","0.5514195","0.404484985","1.000000e+00","0.0522700270","0.755748916","0.014300828","0.64908281","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"354","Tuberculosis","127","0.189466483","1.0000000","0.003678969","1.050091e-01","0.6038315910","1.000000000","0.013338185","0.64908281","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"355","HIF-1 signaling pathway"," 88","0.289988131","1.0000000","0.07333961","8.527580e-01","0.0207116370","0.527115666","0.018266745","0.69616595","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"356","Rheumatoid arthritis"," 63","0.628136217","1.0000000","0.011745863","2.844177e-01","0.0598466760","0.760274436","0.031700100","0.91080694","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"357","Intestinal immune network for IgA production"," 35","0.823351222","1.0000000","0.001166785","3.955401e-02","0.5942264120","1.000000000","0.100831948","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"358","Viral myocarditis"," 51","0.367537376","1.0000000","0.003717136","1.050091e-01","0.7125198770","1.000000000","0.040543841","0.91080694","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"359","Alcoholism","140","0.848168271","1.0000000","0.722235721","1.000000e+00","0.0018673380","0.320248552","0.476210431","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"360","Linoleic acid metabolism","  9",NA,NA,NA,NA,"0.0417316170","0.753365500","0.041731617","0.91080694","X1O2NoCyA - X19O2NoCyA",NA,NA,1,1
"361","Terpenoid backbone biosynthesis"," 21","1","1.0000000","0.081602726","8.923653e-01","0.0224996560","0.527115666","0.993659364","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"362","Hematopoietic cell lineage"," 53","0.619447607","1.0000000","0.017019838","3.393956e-01","0.1792850780","0.991424631","0.062885017","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"363","Hippo signaling pathway","118","0.044879595","0.9713227","0.11864744","1.000000e+00","0.3751190090","0.991424631","0.022616301","0.77573913","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"364","Antigen processing and presentation"," 55","0.367537376","1.0000000","0.014211695","3.211843e-01","0.3936761950","0.991424631","0.040140292","0.91080694","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"365","Glycerophospholipid metabolism"," 66","0.679436653","1.0000000","0.016694865","3.393956e-01","0.2419550410","0.991424631","0.089186279","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"366","Herpes simplex virus 1 infection","433","0.874628519","1.0000000","0.511799931","1.000000e+00","0.0068119780","0.470352547","0.429346622","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"367","Leishmaniasis"," 59","0.445174681","1.0000000","0.01148106","2.844177e-01","0.6376012010","1.000000000","0.076100557","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"368","Transcriptional misregulation in cancer","126","0.684308361","1.0000000","0.688470271","1.000000e+00","0.0086027720","0.470352547","0.388282704","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"369","Lysine degradation"," 51","0.668412648","1.0000000","0.142199303","1.000000e+00","0.0464203220","0.755748916","0.145238908","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"370","PPAR signaling pathway"," 49","1","1.0000000","0.048002602","6.816730e-01","0.0926370220","0.860669327","0.995046023","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"371","Fructose and mannose metabolism"," 29","1","1.0000000","0.402329017","1.000000e+00","0.0111554450","0.470352547","0.999124843","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"372","Necroptosis","125","0.01796087","0.5514195","0.646473915","1.000000e+00","0.3936182490","0.991424631","0.108387660","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"373","Starch and sucrose metabolism"," 27","0.390922785","1.0000000","0.609942032","1.000000e+00","0.0216536100","0.527115666","0.218125531","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"374","Other glycan degradation"," 15",NA,NA,"0.328560228","1.000000e+00","0.0660477690","0.809085171","0.125089034","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"375","Oxytocin signaling pathway","110","0.335568993","1.0000000","0.039674221","6.404553e-01","0.4228476570","1.000000000","0.067737466","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"376","Melanogenesis"," 69","0.069938361","1.0000000","0.494173868","1.000000e+00","0.1642726380","0.991424631","0.087929553","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"377","Amyotrophic lateral sclerosis","302","0.005981416","0.5514195","0.999984425","1.000000e+00","0.9999999970","1.000000000","0.999499898","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"378","Alzheimer disease","300","0.006838766","0.5514195","0.875936394","1.000000e+00","1.0000000000","1.000000000","0.935122358","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"379","Lysosome","115","0.731494869","1.0000000","0.646906693","1.000000e+00","0.0137129020","0.470352547","0.420787582","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"380","Viral carcinogenesis","179","0.945991772","1.0000000","0.999049892","1.000000e+00","0.0069983310","0.470352547","0.983169993","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"381","Pathways of neurodegeneration - multiple diseases","380","0.007268335","0.5514195","0.973211974","1.000000e+00","0.9999997440","1.000000000","0.943609832","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"382","Basal cell carcinoma"," 43","0.55118886","1.0000000","0.132844142","1.000000e+00","0.1013843170","0.860669327","0.129413282","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"383","Biosynthesis of amino acids"," 66","0.776208538","1.0000000","0.754822223","1.000000e+00","0.0133407520","0.470352547","0.536765596","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"384","Tyrosine metabolism"," 20",NA,NA,"1","1.000000e+00","0.0321107290","0.683558826","0.999997018","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"385","Neutrophil extracellular trap formation","138","0.936236144","1.0000000","0.896645788","1.000000e+00","0.0098552180","0.470352547","0.821482578","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"386","Ubiquitin mediated proteolysis","131","0.03421617","0.7975000","0.494593465","1.000000e+00","0.4901178920","1.000000000","0.112581662","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"387","ABC transporters"," 29","0.218827415","1.0000000","0.141310322","1.000000e+00","0.2823086600","0.991424631","0.076566236","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"388","Estrogen signaling pathway"," 84","0.076440187","1.0000000","0.583560811","1.000000e+00","0.1960417950","0.991424631","0.129301521","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"389","Toxoplasmosis"," 94","0.47727759","1.0000000","0.048260035","6.816730e-01","0.3831602930","0.991424631","0.109108254","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"390","RNA polymerase"," 31","0.072993932","1.0000000","0.171207755","1.000000e+00","0.7127367480","1.000000000","0.087943258","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"391","Pentose phosphate pathway"," 26","0.245440504","1.0000000","0.988847007","1.000000e+00","0.0404271560","0.753365500","0.640635064","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"392","Axon guidance","121","0.012034033","0.5514195","0.957942081","1.000000e+00","0.8819137790","1.000000000","0.539485557","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"393","Spinocerebellar ataxia","121","0.010815593","0.5514195","0.951751669","1.000000e+00","0.9994892000","1.000000000","0.799233986","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"394","Prion disease","222","0.012034033","0.5514195","0.96450583","1.000000e+00","0.9999580300","1.000000000","0.886574144","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"395","Folate biosynthesis"," 15","1","1.0000000","0.035760461","6.061398e-01","0.3355441910","0.991424631","0.997718057","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"396","Inflammatory mediator regulation of TRP channels"," 64","0.892579553","1.0000000","0.180153735","1.000000e+00","0.0759418720","0.846209902","0.369603095","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"397","Progesterone-mediated oocyte maturation"," 81","0.020018528","0.5514195","0.665230587","1.000000e+00","0.9944665120","1.000000000","0.463982261","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"398","Sphingolipid metabolism"," 38","0.52363579","1.0000000","0.486997516","1.000000e+00","0.0528161790","0.755748916","0.272402261","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
